,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.0,0.0,44.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0
geotools.csv,1.0,0.0,13.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0
gephex.csv,4.0,0.0,19.0,0.0,3.0,6.0,1.0,0.0,1.0,0.0
haggle.csv,0.0,0.0,13.0,1.0,3.0,26.0,11.0,0.0,0.0,0.0
java-gnome.csv,1.0,3.0,11.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0
jgnash.csv,8.0,1.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0
jrdf.csv,1.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0
mpqc.csv,0.0,0.0,53.0,0.0,3.0,5.0,30.0,0.0,0.0,0.0
panda3d.csv,127.0,0.0,20.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0
tencompetence.csv,1.0,0.0,45.0,0.0,2.0,20.0,28.0,1.0,1.0,8.0
