,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.93,1.0,0.46,0.46,0.61,1.0,0.25,0.61,1.0,0.55,0.67,0.79,0.27,1.0,0.72,0.49,0.8,0.07,0.5,0.65
badtrinity-zero.csv,0.13,0.0,0.54,0.68,0.45,0.0,0.7,0.79,0.9,0.96,1.0,0.9,0.09,0.0,0.39,0.69,0.73,0.0,0.5,0.86
boost.csv,0.36,0.44,0.85,0.54,0.65,0.71,0.4,0.61,0.73,0.53,0.25,0.66,0.64,0.49,0.81,0.64,0.73,0.52,0.67,0.53
critterding.csv,0.5,0.68,1.0,0.7,0.79,0.52,0.85,0.62,0.66,0.66,0.75,0.62,0.73,0.64,0.83,0.55,0.9,0.7,1.0,0.88
enzo.csv,0.81,0.65,0.85,0.97,0.75,0.83,0.9,0.69,0.66,0.83,0.75,0.74,0.64,0.82,0.89,0.93,0.77,0.87,1.0,0.89
etics.csv,0.37,0.59,0.77,0.34,0.55,0.67,0.15,0.45,0.6,0.62,0.5,0.3,0.55,0.58,0.64,0.51,0.83,0.43,0.33,0.33
fmri-dmt.csv,0.7,0.56,0.69,0.65,0.62,0.93,0.2,0.67,0.48,0.26,0.33,0.81,0.82,0.61,0.42,0.56,0.3,0.77,1.0,0.53
genecys.csv,0.79,0.91,0.69,0.72,0.83,0.48,0.9,0.73,0.74,0.89,0.83,0.84,0.45,0.96,0.5,0.89,0.63,0.88,1.0,0.53
gusanos.csv,0.12,0.82,0.85,0.63,0.51,0.86,0.35,0.78,0.82,1.0,0.42,1.0,0.18,0.81,0.53,0.47,0.93,0.02,0.67,0.82
kftpgrabber.csv,0.03,0.62,0.31,0.29,0.32,0.9,0.1,0.32,0.02,0.57,0.25,0.52,0.36,0.72,0.56,0.36,0.9,0.11,0.5,0.42
kvs.csv,0.38,0.35,0.46,0.43,0.12,0.26,0.75,0.27,0.03,0.43,0.25,0.43,0.09,0.4,0.5,0.4,0.27,0.67,0.83,0.33
mcore3d.csv,0.03,0.38,0.23,0.37,0.71,0.6,0.7,0.47,0.84,0.55,0.25,0.13,0.73,0.39,0.69,0.38,0.63,0.07,0.67,0.49
modplug.csv,0.82,0.74,1.0,0.67,0.92,0.9,0.85,0.9,0.95,0.98,0.92,0.72,1.0,0.76,0.97,0.76,1.0,0.54,0.5,0.93
monetdb.csv,0.48,0.5,0.08,0.35,0.6,0.31,0.0,0.19,0.58,0.72,0.58,0.32,0.27,0.36,0.61,0.47,0.63,0.09,0.17,0.53
ogrehg.csv,0.32,0.41,0.54,0.51,0.67,0.9,0.2,0.63,0.9,0.87,0.75,0.56,0.73,0.45,0.83,0.65,0.67,0.53,0.83,0.54
passwordsafe.csv,0.47,0.47,1.0,0.62,0.74,0.52,0.3,0.81,0.87,0.79,0.67,0.87,0.64,0.51,0.81,0.75,1.0,0.28,0.33,0.7
projecteqemu.csv,0.73,0.38,0.77,0.37,0.52,0.81,0.1,0.53,0.52,0.55,0.33,0.46,0.55,0.46,0.78,0.53,0.63,0.72,1.0,0.51
quarkplayer.csv,0.36,0.09,0.54,0.38,0.21,0.31,0.55,0.17,0.03,0.02,0.08,0.45,0.73,0.07,0.31,0.15,0.03,0.43,0.5,0.16
reactos-mirror.csv,0.61,0.68,1.0,0.59,0.75,0.76,0.5,0.73,0.76,0.79,0.67,0.44,0.73,0.7,0.81,0.71,0.83,0.56,0.83,0.68
xbplayer.csv,0.34,0.47,0.38,0.56,0.41,0.67,0.3,0.4,0.47,0.51,0.58,0.5,0.45,0.51,0.61,0.6,0.9,0.1,0.5,0.42
