,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.55,0.62,0.53,0.48,0.5,0.32,0.12,0.82,0.14,0.89,0.93,0.0,0.64
badtrinity-zero.csv,0.15,0.0,0.67,0.0,0.53,0.15,0.09,0.0,0.26,0.85,0.84,0.88,0.63
bibletime.csv,0.55,0.62,0.63,0.56,0.49,0.22,0.14,0.75,0.17,0.79,0.96,0.81,0.29
critterding.csv,0.5,0.62,0.62,0.42,0.45,0.14,0.13,0.63,0.17,0.9,0.84,0.73,0.63
elateportal.csv,0.55,0.59,0.53,0.55,0.53,0.18,0.09,0.79,0.08,0.57,0.99,0.85,0.64
fmri-dmt.csv,0.44,0.47,0.51,0.43,0.19,0.09,0.11,0.54,0.42,0.63,0.76,0.69,0.31
ftm.csv,0.39,0.34,0.35,0.48,0.44,0.24,0.11,0.19,0.17,0.51,0.0,0.62,0.62
gusanos.csv,0.33,0.52,0.56,0.54,0.54,0.22,0.09,0.85,0.18,0.79,0.51,0.0,0.21
monetdb.csv,0.39,0.53,0.43,0.53,0.57,0.29,0.1,0.61,0.12,0.59,0.84,0.6,0.6
quarkplayer.csv,0.45,0.23,0.41,0.33,0.03,0.06,0.26,0.13,0.16,0.4,0.0,0.31,0.12
reactos-mirror.csv,0.62,0.62,0.58,0.6,0.57,0.18,0.18,0.72,0.19,0.86,0.96,0.85,0.19
sandiaportals.csv,0.49,0.55,0.55,0.52,0.51,0.24,0.12,0.78,0.13,0.83,0.09,0.82,0.65
xbplayer.csv,0.37,0.51,0.54,0.63,0.61,0.26,0.08,0.69,0.14,0.67,0.92,0.66,0.5
