,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.39,0.44,0.54,0.41,0.51,0.75,0.68,0.42,0.36,0.37,0.31,0.0,0.41
badtrinity-zero.csv,0.97,0.0,0.44,0.0,0.36,0.42,0.92,0.0,0.71,0.36,0.34,0.4,0.45
bibletime.csv,0.39,0.45,0.39,0.46,0.37,0.41,0.44,0.38,0.32,0.38,0.29,0.4,0.66
critterding.csv,0.53,0.6,0.49,0.47,0.41,0.46,0.42,0.45,0.31,0.37,0.38,0.44,0.47
elateportal.csv,0.39,0.46,0.48,0.47,0.38,0.42,0.38,0.45,0.74,0.52,0.3,0.4,0.39
fmri-dmt.csv,0.71,0.79,0.65,0.5,0.98,0.8,0.66,0.75,0.83,0.64,0.43,0.57,0.98
ftm.csv,0.83,0.86,0.74,0.66,0.65,0.95,0.6,0.86,0.83,0.54,0.0,0.54,0.46
gusanos.csv,0.83,0.44,0.49,0.4,0.34,0.6,0.55,0.38,0.38,0.36,0.53,0.0,0.94
monetdb.csv,0.58,0.69,0.56,0.62,0.5,0.92,0.53,0.65,0.9,0.53,0.41,0.58,0.41
quarkplayer.csv,0.81,0.89,0.9,0.67,0.93,0.95,0.88,0.91,0.55,0.95,0.75,0.94,0.88
reactos-mirror.csv,0.56,0.5,0.53,0.49,0.38,0.55,0.51,0.46,0.33,0.43,0.29,0.39,0.96
sandiaportals.csv,0.61,0.52,0.55,0.43,0.4,0.64,0.43,0.44,0.44,0.37,0.67,0.41,0.41
xbplayer.csv,0.6,0.59,0.48,0.47,0.51,0.52,0.49,0.49,0.55,0.41,0.29,0.41,0.43
