,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.0,3.0,0.0,0.0,17.0,5.0,18.0,0.0,0.0,0.0,0.0
azureus.csv,0.0,2.0,0.0,0.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0
forester-atv.csv,0.0,0.0,0.0,0.0,4.0,51.0,6.0,1.0,1.0,0.0,0.0
gabel.csv,81.0,65.0,61.0,6.0,0.0,51.0,0.0,1.0,62.0,0.0,0.0
google-collections.csv,0.0,3.0,0.0,0.0,20.0,8.0,22.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.0,3.0,0.0,0.0,44.0,6.0,9.0,0.0,1.0,0.0,0.0
mycila.csv,0.0,3.0,0.0,0.0,13.0,0.0,15.0,2.0,0.0,0.0,0.0
neodatis-odb.csv,0.0,3.0,0.0,0.0,21.0,4.0,10.0,3.0,0.0,0.0,0.0
pokenetonline.csv,0.0,1.0,5.0,1.0,14.0,2.0,9.0,0.0,3.0,0.0,1.0
rcp-company-uibindings.csv,0.0,3.0,0.0,0.0,14.0,9.0,9.0,0.0,1.0,0.0,0.0
servicestack.csv,0.0,3.0,3.0,0.0,8.0,2.0,18.0,0.0,0.0,0.0,3.0
