,google-collections.csv,forester-atv.csv,autofac.csv,neodatis-odb.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,servicestack.csv,rcp-company-uibindings.csv,javaprofiler.csv
autofac.csv,0.79,0.62,1.0,0.5,0.23,0.18,0.49,0.64,0.5,0.77,0.5
azureus.csv,0.46,0.39,0.63,0.43,0.24,0.18,0.94,0.41,0.39,0.61,0.26
forester-atv.csv,0.14,1.0,0.07,0.31,0.15,0.0,0.18,0.28,0.19,0.17,0.31
gabel.csv,0.0,0.0,0.0,0.04,0.93,0.0,0.1,0.09,0.0,0.05,0.03
google-collections.csv,1.0,0.57,0.64,0.51,0.15,0.34,0.41,0.83,0.42,0.98,0.83
javaprofiler.csv,0.67,0.57,0.6,0.37,0.14,0.17,0.41,0.82,0.2,0.75,1.0
mycila.csv,0.6,0.26,0.57,0.28,0.32,1.0,0.44,0.45,0.28,0.58,0.17
neodatis-odb.csv,0.5,0.62,0.55,0.99,0.21,0.25,0.32,0.62,0.45,0.62,0.6
pokenetonline.csv,0.78,0.49,0.51,0.44,0.19,0.21,0.41,0.99,0.56,0.63,0.34
rcp-company-uibindings.csv,0.94,0.57,0.61,0.51,0.16,0.31,0.44,0.82,0.45,1.0,0.81
servicestack.csv,0.75,0.63,0.25,0.42,0.15,0.29,0.31,0.36,0.94,0.79,0.14
