,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.43,0.5,0.72,0.65,0.56,0.78,0.59,1.0,0.28,0.0,0.52,0.69
freedom-erp.csv,0.76,0.18,0.93,0.4,0.0,0.9,0.92,0.77,0.21,0.0,0.67,1.0
haggle.csv,0.33,0.26,0.85,0.77,0.5,0.67,0.07,0.0,0.0,0.0,0.59,1.0
javaprofiler.csv,0.32,0.35,0.68,0.65,0.6,0.71,0.49,0.58,0.21,0.03,0.6,0.88
jchassis.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.33,0.0,0.0
jmoney.csv,0.73,0.5,0.92,0.81,0.59,0.79,0.83,0.73,0.3,0.0,0.57,0.83
jsidplay2.csv,0.47,0.27,0.9,0.58,0.6,0.81,0.73,0.63,0.13,0.0,1.0,0.56
madman.csv,0.5,0.31,0.65,0.79,0.53,0.74,0.68,0.33,0.39,0.0,0.62,0.89
matrex.csv,0.61,0.5,0.84,0.88,0.73,0.75,0.82,0.69,0.26,0.0,0.67,0.76
mediate.csv,0.3,0.44,0.62,0.79,0.7,0.78,0.41,0.71,0.33,0.04,0.68,0.77
primefaces.csv,0.42,0.36,0.87,0.65,0.56,0.71,0.65,0.67,0.15,0.05,0.84,0.73
tmva.csv,0.4,0.33,0.77,0.65,0.57,0.9,0.49,0.58,0.19,0.0,0.6,0.6
