,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.65,0.63,0.58,0.2,0.69,0.23,0.81,0.04,0.62,0.0,0.4,0.49
freedom-erp.csv,0.8,0.11,0.44,0.03,0.0,0.05,0.3,0.75,0.38,0.0,0.45,0.03
haggle.csv,0.25,0.19,0.19,0.66,0.13,0.04,0.01,0.0,0.0,0.0,0.4,0.09
javaprofiler.csv,0.8,0.89,0.47,0.99,0.9,0.84,1.0,1.0,1.0,1.0,1.0,0.81
jchassis.csv,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,1.0,0.0,0.0
jmoney.csv,0.8,0.78,0.61,0.41,0.87,0.36,0.14,0.37,0.88,0.0,0.2,0.25
jsidplay2.csv,0.85,0.3,0.8,0.3,0.74,0.35,0.62,1.0,0.38,0.0,0.02,0.29
madman.csv,0.3,0.19,0.29,0.31,0.21,0.23,0.23,0.01,0.88,0.0,0.38,0.32
matrex.csv,0.85,0.56,0.46,0.19,0.62,0.36,0.85,0.57,0.88,0.0,0.05,0.47
mediate.csv,0.15,0.3,0.08,0.35,0.67,0.21,0.52,0.48,0.25,1.0,0.38,0.64
primefaces.csv,0.95,1.0,0.44,1.0,0.87,0.86,0.84,0.12,1.0,1.0,0.68,0.53
tmva.csv,0.9,0.52,1.0,0.73,1.0,0.78,1.0,1.0,0.75,0.0,0.8,0.65
