,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,0.96,0.35,0.04,0.13,0.28,0.17,0.19,0.37
anaxagora.csv,0.17,0.05,0.3,0.09,0.75,0.12,0.06,0.26
botsnscouts.csv,0.5,0.6,0.63,0.96,0.47,0.65,0.42,0.64
emisview.csv,0.4,0.97,0.12,0.09,0.22,0.25,0.32,0.41
matrex.csv,0.36,0.33,0.41,0.68,0.17,0.97,0.37,0.54
mediaportal.csv,0.11,0.05,0.49,0.13,0.17,0.28,0.65,0.9
mediate.csv,0.53,0.16,0.98,0.66,0.37,0.53,0.38,0.54
ontopia.csv,0.49,0.29,0.5,0.56,0.5,0.51,1.0,0.43
