,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.01,0.0,0.1,0.0,0.0,0.0,0.07,0.05,0.0,0.0,0.0
fceugc.csv,0.24,0.12,0.24,0.0,0.27,0.23,0.57,0.47,0.31,0.0,0.61
flexpay.csv,0.24,0.62,0.0,0.44,0.49,0.5,0.77,0.58,0.26,0.6,0.52
jstock.csv,0.23,0.08,0.24,0.02,0.02,0.1,0.2,0.02,0.14,0.07,0.09
keyczar.csv,0.13,0.38,0.15,0.14,0.51,0.1,0.05,0.16,0.08,0.0,0.09
modellus.csv,0.29,0.21,0.36,0.44,0.45,0.0,0.2,0.16,0.23,0.4,0.17
open-data-kit.csv,0.43,0.38,0.58,0.4,0.42,0.71,0.0,0.37,0.38,0.27,0.43
phet.csv,0.0,0.5,0.39,0.37,0.25,0.23,0.34,0.35,0.46,0.2,0.48
qtractor.csv,0.31,0.0,0.41,0.26,0.24,0.43,0.3,0.23,0.17,0.13,0.22
sumatrapdf.csv,0.57,0.75,0.72,0.88,0.0,0.53,0.52,0.44,0.7,0.4,0.43
synergyspace.csv,0.31,0.21,0.18,0.35,0.53,0.42,0.61,0.23,0.0,0.2,0.0
