,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.05,0.0,0.07,0.0,0.0,0.02,0.12,0.12,0.07,0.0,1.0
fceugc.csv,0.19,0.49,0.25,1.0,0.49,0.36,0.4,0.11,0.3,0.25,0.61
flexpay.csv,0.18,0.49,0.93,0.37,0.32,0.55,0.57,0.35,0.27,0.46,0.46
jstock.csv,0.12,0.38,0.3,0.0,0.32,0.43,0.41,0.96,0.26,0.08,0.38
keyczar.csv,0.1,0.24,0.24,0.14,0.24,0.26,0.07,0.1,0.06,1.0,0.05
modellus.csv,0.15,0.57,0.26,0.4,0.4,0.99,0.56,0.46,0.34,0.41,0.09
open-data-kit.csv,0.34,0.63,0.24,0.48,0.43,0.59,1.0,0.24,0.2,0.65,0.6
phet.csv,0.96,0.26,0.24,0.43,0.27,0.17,0.3,0.35,0.2,0.71,0.58
qtractor.csv,0.18,1.0,0.24,0.36,0.53,0.55,0.38,0.36,0.24,0.46,0.41
sumatrapdf.csv,0.24,0.76,0.31,0.49,0.98,0.67,0.68,0.36,0.4,0.73,0.76
synergyspace.csv,0.18,0.57,0.23,0.36,0.57,0.59,0.65,0.08,0.98,0.69,0.09
