,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.97,1.0,0.95,1.0,1.0,0.99,0.94,0.92,0.96,1.0,0.0
fceugc.csv,0.85,0.65,0.74,0.0,0.58,0.77,0.88,0.97,0.69,0.85,0.74
flexpay.csv,0.86,0.8,0.12,0.72,0.81,0.66,0.88,0.7,0.74,0.88,0.8
jstock.csv,0.91,0.75,0.66,1.0,0.81,0.71,0.74,0.02,0.78,0.96,0.76
keyczar.csv,0.94,0.9,0.78,0.92,0.9,0.84,0.96,0.94,0.96,0.0,0.98
modellus.csv,0.89,0.57,0.7,0.69,0.71,0.02,0.6,0.56,0.66,0.81,0.97
open-data-kit.csv,0.68,0.54,0.75,0.58,0.66,0.76,0.0,0.79,0.82,0.55,0.64
phet.csv,0.07,0.93,0.72,0.64,0.81,0.91,0.86,0.64,0.83,0.46,0.68
qtractor.csv,0.86,0.0,0.73,0.71,0.54,0.63,0.78,0.66,0.79,0.7,0.74
sumatrapdf.csv,0.84,0.75,0.74,0.89,0.03,0.58,0.62,0.64,0.7,0.53,0.5
synergyspace.csv,0.86,0.57,0.77,0.71,0.57,0.58,0.7,0.95,0.04,0.48,0.95
