,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.4,0.0,0.11,0.0,0.0,1.0,0.62,0.33,1.0,0.0,1.0
fceugc.csv,0.19,0.77,0.21,1.0,0.5,0.53,0.5,0.09,0.24,1.0,0.63
flexpay.csv,0.18,0.48,1.0,0.32,0.29,0.53,0.56,0.24,0.24,0.65,0.57
jstock.csv,0.14,0.78,0.25,0.0,0.86,0.74,0.71,0.93,0.3,0.67,0.83
keyczar.csv,0.15,0.36,0.24,0.25,0.22,0.61,0.6,0.12,0.11,1.0,0.33
modellus.csv,0.15,0.72,0.19,0.34,0.36,1.0,0.79,0.46,0.3,0.7,0.33
open-data-kit.csv,0.26,0.65,0.16,0.41,0.39,0.5,1.0,0.2,0.16,0.86,0.69
phet.csv,1.0,0.33,0.18,0.38,0.33,0.33,0.52,0.29,0.15,0.9,0.66
qtractor.csv,0.17,1.0,0.17,0.39,0.55,0.56,0.62,0.33,0.26,0.88,0.71
sumatrapdf.csv,0.17,0.61,0.19,0.33,1.0,0.59,0.69,0.27,0.26,0.84,0.76
synergyspace.csv,0.17,0.72,0.22,0.35,0.45,0.59,0.65,0.09,1.0,0.9,1.0
