,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.2,0.17,0.14,0.08,0.22,0.13,0.07,0.07,0.31,0.9
aubit4gl.csv,0.31,0.83,0.43,0.38,1.0,0.48,0.32,0.35,0.41,0.5
liferea.csv,0.34,0.33,0.29,0.77,0.24,0.39,0.14,0.44,0.17,0.37
moving-pictures.csv,0.8,0.67,0.86,0.31,0.63,0.52,0.93,0.4,0.59,0.9
opensim4opencog.csv,0.22,0.17,0.14,0.54,0.61,0.91,0.07,0.39,0.26,0.1
plearn.csv,0.92,0.17,0.29,0.15,0.72,0.09,0.32,0.27,0.31,0.6
psrchive.csv,0.25,0.0,0.93,0.08,0.59,0.09,0.14,0.2,0.39,0.37
re2c.csv,0.41,1.0,0.43,0.0,0.13,0.04,0.18,0.08,0.11,0.27
rebecca-aiml.csv,0.31,0.17,0.36,0.46,0.74,0.17,0.32,0.41,0.96,0.53
xfce.csv,0.64,0.67,0.79,0.85,0.78,0.65,0.86,0.98,0.83,0.8
