,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.95,0.5,0.86,0.8,0.88,0.92,0.8,0.94,0.74,0.93
aubit4gl.csv,0.73,0.69,0.6,0.5,0.51,0.79,0.78,0.84,0.6,0.73
liferea.csv,0.67,0.75,0.89,0.9,0.7,0.57,0.8,0.56,0.9,0.58
moving-pictures.csv,0.41,0.46,0.41,0.86,0.39,0.61,0.54,0.43,0.56,0.45
opensim4opencog.csv,0.94,0.0,0.93,0.67,0.36,0.95,0.67,0.66,0.85,0.95
plearn.csv,0.74,0.82,0.92,0.92,0.42,0.89,0.7,0.83,0.82,0.64
psrchive.csv,0.86,0.0,0.92,0.67,0.37,0.94,0.81,0.81,0.77,0.71
re2c.csv,0.58,0.83,0.52,0.67,0.92,0.75,0.9,0.97,0.88,0.97
rebecca-aiml.csv,0.8,0.8,0.67,0.65,0.39,0.96,0.55,0.64,0.65,0.64
xfce.csv,0.47,0.38,0.43,0.33,0.36,0.46,0.33,0.47,0.56,0.45
