,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.8,0.83,0.86,0.93,0.78,0.87,0.93,0.93,0.7,0.1
aubit4gl.csv,0.82,0.5,0.8,0.81,0.02,0.61,0.74,0.86,0.88,0.63
liferea.csv,0.69,0.68,0.74,0.23,0.81,0.64,0.88,0.63,0.84,0.69
moving-pictures.csv,0.66,0.89,0.8,0.7,0.61,0.79,0.07,0.62,0.78,0.7
opensim4opencog.csv,0.79,0.83,0.87,0.56,0.6,0.09,0.93,0.64,0.75,0.91
plearn.csv,0.08,0.86,0.72,0.88,0.74,0.91,0.82,0.82,0.73,0.63
psrchive.csv,0.76,1.0,0.07,0.92,0.57,0.92,0.94,0.81,0.62,0.73
re2c.csv,0.64,0.0,0.64,1.0,0.88,0.96,0.84,0.95,0.89,0.76
rebecca-aiml.csv,0.7,0.84,0.68,0.63,0.75,0.84,0.8,0.69,0.04,0.62
xfce.csv,0.72,0.76,0.78,0.81,0.78,0.91,0.79,0.03,0.56,0.83
