,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.51,0.25,0.41,0.4,0.44,0.31,0.22,0.0,0.55,0.42,0.62,0.72,0.57,0.59,0.42,0.66,0.42,0.6
decidr.csv,0.5,0.34,0.39,0.36,0.35,0.25,0.44,0.55,0.33,0.36,0.0,0.77,0.56,0.51,0.38,0.79,0.4,0.55
elmo.csv,0.08,0.01,0.01,0.09,0.05,0.1,0.04,0.12,0.22,0.07,0.05,0.13,0.07,0.1,0.22,0.18,0.14,0.08
gpac.csv,0.28,0.33,0.24,0.29,0.5,0.38,0.33,0.43,0.28,0.52,0.55,0.0,0.27,0.67,0.29,0.39,0.51,0.46
illumination.csv,0.11,0.22,0.39,0.17,0.06,0.59,0.52,0.55,0.08,0.3,0.02,0.15,0.31,0.1,0.33,0.18,0.0,0.09
img-browse-sort.csv,0.13,0.43,0.13,0.17,0.24,0.41,0.22,0.22,0.12,0.17,0.23,0.28,0.13,0.38,0.25,0.0,0.22,0.24
jajuk.csv,0.37,0.39,0.37,0.0,0.34,0.37,0.22,0.47,0.31,0.32,0.37,0.85,0.45,0.23,0.43,0.53,0.38,0.56
ktc.csv,0.01,0.19,0.17,0.1,0.14,0.2,0.04,0.33,0.12,0.1,0.14,0.32,0.21,0.26,0.18,0.42,0.28,0.3
miranda.csv,0.41,0.22,0.81,0.21,0.36,0.35,0.3,0.67,0.16,0.38,0.21,0.43,0.44,0.31,0.58,0.21,0.45,0.01
neoengine.csv,0.34,0.9,0.0,0.29,0.22,0.59,0.15,0.47,0.22,0.33,0.25,0.47,0.63,0.44,0.42,0.39,0.45,0.61
nicepress.csv,0.12,0.06,0.07,0.11,0.26,0.28,0.04,0.37,0.36,0.03,0.16,0.26,0.58,0.08,0.28,0.05,0.4,0.32
omseek.csv,0.05,0.04,0.04,0.02,0.04,0.14,0.0,0.06,0.07,0.14,0.13,0.19,0.12,0.28,0.0,0.11,0.03,0.09
rosegarden.csv,0.11,0.73,0.42,0.16,0.13,0.54,0.78,0.16,0.01,0.23,0.27,0.21,0.22,0.33,0.6,0.21,0.28,0.36
smarttag.csv,0.39,0.21,0.87,0.23,0.7,0.42,0.37,0.27,0.24,0.41,0.23,0.26,0.24,0.0,0.44,0.37,0.43,0.2
sylpheed-claws.csv,0.19,0.12,0.4,0.37,0.32,0.3,0.33,0.47,0.29,0.33,0.34,0.49,0.0,0.49,0.28,0.29,0.4,0.44
vapor.csv,0.22,0.0,0.07,0.14,0.08,0.01,0.0,0.2,0.14,0.13,0.65,0.28,0.26,0.44,0.13,0.29,0.12,0.37
zorannt.csv,0.09,0.39,0.04,0.06,0.0,0.39,0.52,0.45,0.11,0.2,0.14,0.51,0.4,1.0,0.18,0.29,0.2,0.33
zscreen.csv,0.42,0.45,0.36,0.63,0.45,0.46,0.04,0.55,0.54,0.59,0.75,0.66,0.45,0.72,0.52,0.42,0.49,0.72
