,werx.csv,plog4u.csv,fm-classic.csv,openxava.csv,vars-redux.csv,tcvp.csv,jcl.csv
fm-classic.csv,0.99,1.0,0.09,0.63,0.63,1.0,0.67
jcl.csv,1.26,1.02,0.7,0.7,0.69,0.62,0.52
openxava.csv,1.08,1.06,0.55,0.4,0.63,0.49,0.84
tcvp.csv,1.0,1.0,1.0,1.0,0.99,0.27,1.0
vars-redux.csv,1.08,0.59,0.71,0.96,0.46,0.85,0.93
werx.csv,0.04,1.0,1.0,0.96,0.91,1.0,0.65
