,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.19,0.22,0.17,0.19,0.13,0.05,0.38,0.38,0.25,0.26,0.2,0.19,0.01,0.39,0.14
bl-toolkit.csv,0.39,0.25,0.4,0.54,0.46,0.0,0.97,0.53,0.35,0.58,0.41,0.34,0.49,0.54,0.77
bochs.csv,0.29,0.33,0.68,0.36,0.07,0.5,0.0,0.28,0.39,0.26,0.31,0.35,0.39,0.57,0.18
emeraldemu.csv,0.42,0.13,0.26,0.0,0.12,0.18,0.23,0.31,0.22,0.28,0.14,0.62,0.34,0.33,0.04
fbmanager.csv,0.0,0.39,0.24,0.29,0.69,0.36,0.42,0.38,0.36,0.25,0.2,0.15,0.41,0.36,0.21
modellus.csv,0.23,0.17,0.28,0.27,0.27,0.23,0.23,0.31,0.28,0.6,0.55,0.01,0.35,0.45,0.46
openmalaria.csv,0.45,0.24,0.43,0.56,0.49,0.36,0.41,0.38,0.38,0.32,0.0,0.71,0.69,0.42,0.36
pi-qmc.csv,0.42,0.45,0.49,0.5,0.26,0.36,0.92,0.56,0.47,0.42,0.37,0.31,0.38,0.57,0.04
plplot.csv,0.45,0.28,0.49,0.56,0.36,0.36,1.0,0.66,0.51,0.0,0.49,0.29,0.56,0.42,0.3
powerfolder.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0
psycle.csv,0.65,0.03,0.66,0.62,0.57,0.55,0.62,0.66,0.58,0.72,0.76,0.58,0.86,0.75,0.82
qgis.csv,0.13,0.34,0.0,0.33,0.3,0.32,0.18,0.38,0.31,0.28,0.14,0.31,0.38,0.55,0.09
sbml.csv,0.45,0.41,0.6,0.58,0.37,0.5,0.32,0.03,0.52,0.33,0.47,0.53,0.58,0.8,0.2
unimrcp.csv,0.03,0.05,0.03,0.08,0.02,0.14,0.01,0.0,0.13,0.07,0.0,0.48,0.17,0.11,0.04
wow-qrsk.csv,0.13,0.14,0.2,0.18,0.23,0.23,0.16,0.19,0.0,0.18,0.16,0.29,0.24,0.65,0.11
