,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.08,0.43,0.5,0.43,1.0,0.15,0.21,0.73,0.75,0.27,0.0
elateportal.csv,0.13,0.33,0.17,0.41,0.12,0.21,0.29,0.81,0.99,0.31,1.0
etics.csv,0.21,0.37,1.0,0.55,0.14,0.19,0.54,0.92,0.97,0.4,0.91
lockss.csv,0.6,0.12,0.5,0.0,0.14,1.0,0.3,1.0,1.0,0.33,0.0
pcgen.csv,0.05,0.33,0.5,1.0,0.19,0.21,0.28,0.92,0.97,0.52,0.75
personalaccess.csv,0.15,0.36,0.29,0.47,0.12,0.26,0.49,0.99,0.97,0.39,0.91
pydev.csv,0.15,0.4,0.33,0.47,0.19,0.23,0.33,0.85,0.97,1.0,0.8
rhex.csv,1.0,0.47,0.25,0.57,0.22,0.21,0.21,0.78,0.38,0.38,0.0
stuproa-cims.csv,0.14,0.36,0.23,0.41,0.17,0.21,0.98,0.85,0.97,0.39,0.79
uclmda.csv,0.1,0.34,0.17,0.43,0.1,0.15,0.4,0.81,1.0,0.22,0.98
wgs-assembler.csv,0.18,1.0,0.38,0.45,0.3,0.36,0.28,0.85,1.0,0.44,0.97
