,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.92,0.57,0.75,0.75,0.92,0.83,0.57,0.72,0.94,0.67,0.5
elateportal.csv,0.56,0.59,0.6,0.45,0.6,0.5,0.71,0.55,0.27,0.55,0.3
etics.csv,0.54,0.47,0.69,0.38,0.55,0.42,0.96,0.61,0.29,0.44,0.5
lockss.csv,0.8,0.88,0.5,0.75,0.86,0.95,0.9,0.91,0.58,0.83,0.5
pcgen.csv,0.9,0.42,0.83,0.52,0.94,0.54,0.87,0.68,0.64,0.72,0.75
personalaccess.csv,0.88,0.39,0.42,0.39,0.67,0.35,0.89,0.39,0.47,0.39,0.3
pydev.csv,0.95,0.9,0.73,0.56,0.67,0.56,0.96,0.77,0.97,0.62,0.8
rhex.csv,0.91,0.89,0.81,0.59,0.89,0.77,0.97,0.71,0.88,0.74,0.75
stuproa-cims.csv,0.45,0.32,0.44,0.46,0.44,0.39,0.81,0.39,0.31,0.39,0.58
uclmda.csv,0.54,0.47,0.54,0.63,0.84,0.54,0.96,0.65,0.26,0.61,0.32
wgs-assembler.csv,0.61,0.71,0.88,0.95,0.9,0.93,0.74,0.72,0.27,0.94,0.39
