,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.1,0.53,0.18,0.46,0.88,0.35,0.45,0.35,0.08,0.4,0.0
elateportal.csv,0.57,0.48,0.38,0.51,0.42,0.56,0.35,0.47,0.95,0.44,1.0
etics.csv,0.66,0.48,1.0,0.71,0.47,0.47,0.29,0.31,0.64,0.54,0.48
lockss.csv,0.29,0.04,0.1,0.0,0.09,0.88,0.06,0.11,0.39,0.07,0.0
pcgen.csv,0.1,0.5,0.51,0.98,0.25,0.47,0.28,0.42,0.38,0.41,0.09
personalaccess.csv,0.37,0.55,0.67,0.64,0.4,0.71,0.38,0.98,0.5,0.61,0.7
pydev.csv,0.29,0.35,0.42,0.6,0.6,0.48,0.18,0.31,0.2,0.95,0.11
rhex.csv,0.93,0.27,0.35,0.49,0.17,0.4,0.18,0.44,0.02,0.45,0.0
stuproa-cims.csv,0.45,0.0,0.54,0.47,0.05,0.53,0.87,0.62,0.62,0.58,0.34
uclmda.csv,0.46,0.52,0.42,0.53,0.24,0.38,0.21,0.43,1.0,0.25,0.89
wgs-assembler.csv,0.46,0.89,0.27,0.21,0.25,0.27,0.31,0.36,0.98,0.26,0.71
