,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.14,0.37,0.05,0.4,0.0,0.45,0.63,0.8,0.67,0.54,0.33
elateportal.csv,0.65,0.56,0.6,0.8,0.74,0.53,0.27,0.56,0.17,0.49,0.0
etics.csv,0.38,0.44,0.0,0.41,0.62,0.46,0.08,0.12,0.67,0.42,0.33
lockss.csv,0.02,0.1,0.02,0.05,0.09,0.0,0.05,0.0,0.0,0.06,0.33
pcgen.csv,0.25,0.73,0.14,0.0,0.19,0.41,0.22,0.16,0.33,0.17,0.17
personalaccess.csv,0.27,0.7,0.64,0.72,0.68,0.58,0.13,0.04,0.33,0.55,0.67
pydev.csv,0.21,0.26,0.24,0.47,0.62,0.36,0.11,0.24,0.17,0.0,0.17
rhex.csv,0.0,0.14,0.29,0.23,0.1,0.34,0.21,0.64,0.83,0.35,0.67
stuproa-cims.csv,0.85,1.0,0.71,0.83,0.99,0.8,0.01,0.64,0.67,0.77,0.67
uclmda.csv,0.65,0.64,0.69,0.48,0.41,0.48,0.1,0.48,0.0,0.41,0.17
wgs-assembler.csv,0.28,0.0,0.12,0.15,0.1,0.1,0.25,0.28,0.0,0.14,0.17
