,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.93,0.61,0.85,0.69,0.14,0.81,0.82,0.98,1.14,0.81,1.05
elateportal.csv,0.73,0.76,0.86,0.82,0.89,0.67,0.74,0.76,0.17,0.76,0.0
etics.csv,0.51,0.7,0.0,0.48,0.79,0.71,0.75,0.74,0.69,0.63,0.64
lockss.csv,0.75,0.98,0.92,1.0,0.93,0.14,0.95,0.91,0.66,0.95,1.05
pcgen.csv,0.95,0.81,0.56,0.02,0.81,0.68,0.79,0.65,0.74,0.66,0.95
personalaccess.csv,0.72,0.76,0.66,0.72,0.89,0.59,0.68,0.04,0.62,0.64,0.67
pydev.csv,0.78,0.74,0.66,0.6,0.68,0.65,0.86,0.77,0.84,0.06,0.92
rhex.csv,0.08,0.78,0.75,0.59,0.86,0.72,0.88,0.84,1.29,0.68,1.2
stuproa-cims.csv,0.86,1.0,0.78,0.84,0.99,0.81,0.15,0.68,0.7,0.77,0.94
uclmda.csv,0.82,0.76,0.88,0.67,0.89,0.8,0.82,0.76,0.0,0.88,0.19
wgs-assembler.csv,0.65,0.13,0.78,0.83,0.79,0.78,0.77,0.74,0.03,0.79,0.36
