,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.08,0.51,0.15,0.44,0.86,0.32,0.47,0.44,0.07,0.39,0.0
elateportal.csv,0.67,0.49,0.38,0.82,0.5,0.59,0.31,0.48,0.99,0.42,1.0
etics.csv,0.67,0.46,1.0,0.75,0.5,0.45,0.25,0.27,0.83,0.53,0.45
lockss.csv,0.25,0.03,0.08,0.0,0.07,0.86,0.05,0.09,0.34,0.06,0.0
pcgen.csv,0.08,0.64,0.46,0.98,0.21,0.45,0.24,0.37,0.34,0.36,0.07
personalaccess.csv,0.33,0.69,0.85,0.93,0.43,0.86,0.33,0.99,0.47,0.67,0.98
pydev.csv,0.25,0.31,0.38,0.62,0.71,0.45,0.15,0.27,0.17,0.94,0.09
rhex.csv,0.92,0.23,0.31,0.45,0.14,0.36,0.15,0.46,0.02,0.42,0.0
stuproa-cims.csv,0.92,1.0,0.69,0.85,1.0,0.91,0.85,0.76,0.8,0.94,0.34
uclmda.csv,0.5,0.59,0.46,0.53,0.21,0.36,0.18,0.41,1.0,0.22,0.91
wgs-assembler.csv,0.42,0.87,0.23,0.18,0.21,0.23,0.27,0.32,0.97,0.22,0.68
