,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.22,0.64,0.33,0.0,0.27,0.19,0.46,0.44,0.44,0.02,0.32,0.08,0.43,0.44,0.98,0.42,0.4
all-plasm.csv,0.39,0.53,0.22,0.15,0.3,0.41,0.43,0.4,0.31,0.01,0.33,0.32,0.2,0.98,0.35,0.55,0.53
applet2app.csv,0.47,0.52,0.36,0.03,0.07,0.57,0.97,0.31,0.45,0.01,0.3,0.39,0.31,0.52,0.39,0.49,0.27
autat.csv,0.27,0.22,0.23,0.0,0.06,0.1,0.3,0.33,0.42,0.01,0.12,0.18,1.0,0.08,0.62,0.35,0.39
autowikibrowser.csv,0.42,0.62,0.37,0.0,0.17,0.42,0.48,0.25,0.4,0.01,0.36,0.28,0.33,0.31,0.62,0.99,0.43
gbif-providertoolkit.csv,0.26,0.17,0.38,0.29,0.09,0.24,0.38,0.96,0.4,0.03,0.48,0.31,0.25,0.31,0.12,0.39,0.51
htmlunit.csv,0.21,0.0,0.23,0.03,0.07,0.16,0.23,0.44,0.97,0.01,0.15,0.12,0.36,0.29,0.25,0.29,0.19
kmatplot.csv,0.43,0.25,0.98,0.04,0.15,0.31,0.35,0.29,0.31,0.0,0.17,0.13,0.15,0.32,0.47,0.48,0.27
mcore3d.csv,0.34,0.43,0.39,0.0,0.2,0.99,0.45,0.3,0.31,0.0,0.41,0.27,0.31,0.59,0.25,0.54,0.4
nh3d.csv,0.01,0.06,0.3,1.0,0.27,0.15,0.14,0.0,0.0,0.03,0.12,0.1,0.12,0.17,0.0,0.2,0.21
qgo.csv,0.47,0.97,0.43,0.01,0.06,0.68,0.54,0.38,0.51,0.01,0.48,0.34,0.32,0.38,0.51,0.67,0.41
qtwin.csv,0.0,0.12,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
reactos-mirror.csv,0.98,0.63,0.32,0.03,0.22,0.75,0.51,0.25,0.47,0.0,0.46,0.29,0.34,0.58,0.46,0.6,0.35
taokgame.csv,0.02,0.0,0.12,0.0,1.0,0.11,0.4,0.12,0.0,0.06,0.0,0.09,0.38,0.47,0.02,0.22,0.13
unbvision.csv,0.34,0.59,0.34,0.06,0.09,0.27,0.47,0.29,0.29,0.0,0.97,0.07,0.22,0.4,0.38,0.29,0.31
uwom.csv,0.51,0.51,0.4,0.01,0.05,0.46,0.46,0.33,0.39,0.01,0.16,0.1,0.32,0.43,0.49,0.44,0.97
wishmaster.csv,0.52,0.58,0.12,0.07,0.09,0.51,0.28,0.27,0.48,0.0,0.26,0.96,0.34,0.42,0.47,0.36,0.11
