,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.45,0.55,0.32,0.0,0.2,0.68,0.35,0.33,0.36,0.01,0.5,0.1,0.31,0.53,1.0,0.48,0.56
all-plasm.csv,0.46,0.43,0.2,0.08,0.18,0.82,0.33,0.29,0.28,0.0,0.44,0.29,0.13,1.0,0.39,0.69,0.54
applet2app.csv,0.38,0.47,0.25,0.01,0.04,0.66,0.99,0.2,0.41,0.0,0.22,0.3,0.26,0.42,0.28,0.43,0.19
autat.csv,0.43,0.57,0.17,0.0,0.04,0.54,0.44,0.27,0.44,0.0,0.67,0.25,1.0,0.25,0.66,0.77,0.45
autowikibrowser.csv,0.48,0.68,0.28,0.0,0.12,0.73,0.46,0.18,0.35,0.0,0.33,0.19,0.24,0.29,0.49,1.0,0.33
gbif-providertoolkit.csv,0.55,0.6,0.35,0.33,0.08,0.81,0.58,1.0,0.64,0.02,0.54,0.28,0.25,0.8,0.33,0.71,0.48
htmlunit.csv,0.41,0.0,0.22,0.01,0.05,0.73,0.34,0.36,1.0,0.0,0.27,0.5,0.42,0.57,0.36,0.34,0.2
kmatplot.csv,0.46,0.33,1.0,0.02,0.12,0.67,0.46,0.21,0.34,0.0,0.22,0.12,0.18,0.5,0.46,0.51,0.22
mcore3d.csv,0.43,0.42,0.27,0.0,0.12,1.0,0.38,0.21,0.27,0.0,0.28,0.17,0.2,0.48,0.19,0.46,0.29
nh3d.csv,0.5,0.5,0.55,1.0,0.4,0.83,0.55,0.0,0.0,0.01,1.0,0.14,1.0,1.0,0.0,0.83,0.71
qgo.csv,0.42,1.0,0.3,0.01,0.04,0.81,0.48,0.25,0.38,0.0,0.37,0.23,0.25,0.31,0.37,0.63,0.3
qtwin.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
reactos-mirror.csv,0.99,0.46,0.19,0.02,0.12,0.69,0.36,0.15,0.32,0.0,0.3,0.17,0.2,0.41,0.3,0.44,0.22
taokgame.csv,0.5,0.0,0.5,0.0,1.0,1.0,0.4,0.33,0.0,0.03,0.0,0.11,0.25,0.53,0.33,0.6,0.72
unbvision.csv,0.41,0.47,0.25,0.03,0.05,0.64,0.36,0.25,0.35,0.0,1.0,0.07,0.17,0.38,0.27,0.31,0.25
uwom.csv,0.43,0.46,0.29,0.01,0.03,0.72,0.47,0.24,0.44,0.0,0.43,0.17,0.29,0.5,0.37,0.5,0.99
wishmaster.csv,0.39,0.59,0.09,0.04,0.06,0.79,0.46,0.18,0.46,0.0,0.3,1.0,0.38,0.41,0.37,0.36,0.11
