,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,3.0,1.0,1.0,4.0,12.0,0.0,1.0,0.0,2.0,5.0,3.0,7.0,1.0,13.0,1.0,0.0,4.0,1.0
bigdata.csv,0.0,2.0,2.0,23.0,51.0,9.0,0.0,0.0,7.0,2.0,2.0,57.0,1.0,17.0,0.0,0.0,2.0,4.0
chaperon.csv,0.0,2.0,81.0,49.0,0.0,8.0,0.0,0.0,1.0,2.0,1.0,2.0,10.0,7.0,0.0,240.0,1.0,98.0
e-bio-flow.csv,0.0,1.0,0.0,8.0,51.0,1.0,0.0,10.0,1.0,0.0,0.0,5.0,4.0,26.0,0.0,10.0,10.0,4.0
exist.csv,0.0,3.0,0.0,7.0,4.0,5.0,0.0,0.0,2.0,1.0,4.0,15.0,0.0,16.0,0.0,0.0,1.0,1.0
freedom-erp.csv,104.0,1.0,0.0,49.0,51.0,2.0,0.0,1.0,0.0,0.0,0.0,57.0,2.0,4.0,0.0,2.0,5.0,98.0
geotools.csv,3.0,0.0,3.0,9.0,51.0,1.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,3.0
jaxlib.csv,0.0,68.0,81.0,0.0,51.0,216.0,99.0,196.0,147.0,84.0,166.0,57.0,1.0,107.0,0.0,240.0,191.0,0.0
jppf-project.csv,0.0,1.0,1.0,23.0,21.0,13.0,0.0,2.0,2.0,0.0,1.0,5.0,32.0,11.0,0.0,0.0,0.0,11.0
matrex.csv,2.0,1.0,6.0,7.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,1.0,1.0,4.0,3.0
mediate.csv,0.0,0.0,2.0,23.0,26.0,6.0,0.0,4.0,1.0,2.0,1.0,4.0,30.0,22.0,0.0,0.0,0.0,16.0
nunit.csv,0.0,2.0,2.0,49.0,51.0,7.0,0.0,5.0,0.0,4.0,1.0,3.0,10.0,107.0,0.0,3.0,0.0,11.0
octet.csv,0.0,3.0,3.0,11.0,3.0,15.0,0.0,8.0,3.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,4.0
pokenetonline.csv,3.0,0.0,0.0,21.0,1.0,5.0,0.0,11.0,9.0,0.0,0.0,0.0,1.0,34.0,0.0,5.0,4.0,5.0
reaper3d.csv,0.0,2.0,2.0,49.0,51.0,23.0,0.0,1.0,3.0,84.0,3.0,1.0,32.0,0.0,0.0,240.0,0.0,11.0
simplewebservices.csv,0.0,2.0,0.0,49.0,14.0,18.0,0.0,11.0,1.0,3.0,1.0,4.0,25.0,31.0,0.0,0.0,0.0,10.0
stajistics.csv,2.0,2.0,0.0,49.0,1.0,13.0,0.0,7.0,1.0,1.0,3.0,1.0,6.0,12.0,0.0,3.0,0.0,0.0
swtfox.csv,0.0,3.0,4.0,5.0,11.0,11.0,0.0,0.0,21.0,3.0,11.0,2.0,39.0,20.0,0.0,0.0,0.0,13.0
