,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.93,0.66,0.47,0.38,0.8,0.09,0.57,0.68,0.86,0.74,0.7,0.73,0.57,0.89,0.71,0.78,0.69,0.77
bigdata.csv,0.88,0.84,0.84,0.92,1.0,0.8,0.79,0.61,0.54,0.65,0.74,1.0,0.78,0.97,0.03,0.91,0.55,0.75
chaperon.csv,0.88,0.81,1.0,1.03,0.0,0.76,0.95,0.88,0.95,0.89,0.93,0.86,0.99,0.88,0.97,1.0,0.95,1.0
e-bio-flow.csv,0.79,0.81,0.1,0.65,1.06,0.63,0.75,0.85,0.93,0.77,0.6,0.74,0.66,0.71,0.66,0.68,0.68,0.62
exist.csv,0.84,0.66,0.7,0.46,0.79,0.5,0.57,0.04,0.55,0.52,0.81,0.91,0.59,0.67,0.61,0.7,0.61,0.61
freedom-erp.csv,1.01,0.9,0.83,1.01,1.0,0.65,0.82,0.95,0.82,0.95,0.03,1.0,0.94,0.88,0.9,0.94,0.98,1.0
geotools.csv,0.82,0.67,0.69,0.6,1.01,0.82,0.89,0.75,0.79,0.78,0.6,0.87,0.08,0.76,0.76,0.82,0.68,0.97
jaxlib.csv,0.97,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.97
jppf-project.csv,0.95,0.69,0.93,0.96,0.99,0.81,0.0,0.65,0.93,0.96,0.82,0.94,0.91,0.9,0.78,0.99,0.89,0.9
matrex.csv,0.96,0.66,0.8,0.55,0.51,0.61,0.87,0.9,0.01,0.75,0.41,0.72,0.8,0.76,0.82,0.91,0.82,0.89
mediate.csv,0.79,0.03,0.74,0.9,0.83,0.59,0.67,0.71,0.86,0.73,0.76,0.89,0.81,0.72,0.72,0.76,0.67,0.86
nunit.csv,0.62,0.85,0.54,1.02,1.01,0.76,0.74,0.64,0.85,0.76,0.82,0.72,0.72,1.01,0.76,0.84,0.03,0.91
octet.csv,0.73,0.93,0.89,0.64,0.33,0.79,0.75,0.59,0.57,0.77,0.76,0.0,0.73,0.79,0.72,0.8,0.56,0.58
pokenetonline.csv,0.95,0.62,0.68,0.77,0.47,0.73,0.9,0.8,0.6,0.0,0.75,0.5,0.55,0.63,0.84,0.64,0.59,0.47
reaper3d.csv,0.95,0.95,0.94,1.0,1.01,0.83,0.87,0.92,0.91,1.0,0.99,0.86,0.95,0.12,0.79,1.0,0.82,0.93
simplewebservices.csv,0.86,0.82,0.64,1.13,0.54,0.87,0.94,0.72,0.65,0.64,0.68,0.47,0.67,0.87,0.75,0.03,0.66,0.76
stajistics.csv,0.65,0.77,0.58,1.05,0.76,0.78,0.92,0.66,0.96,0.69,0.78,0.86,0.69,0.45,0.64,0.87,0.75,0.07
swtfox.csv,0.03,0.95,0.76,0.23,0.81,0.89,0.85,0.64,1.01,0.91,0.98,0.98,0.78,0.92,0.8,0.63,0.66,0.76
