,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,99.0,482.5,1064.5,1438.5,99.0,289.5,523.0,98.5,98.5,777.0
haphazard.csv,99.0,1003.5,790.5,2979.5,99.0,277.5,243.5,98.5,98.5,1073.0
jicarilla.csv,249.0,0.0,436.0,72.5,0.0,19.5,113.0,92.5,0.0,0.0
ondex.csv,97.5,364.0,468.5,1052.5,99.0,173.5,0.0,85.5,98.5,644.5
optalgtoolkit.csv,99.0,482.5,729.0,1345.0,94.5,94.5,283.5,98.5,98.5,680.0
ossim.csv,191.0,708.0,461.0,772.0,83.5,87.5,186.0,98.5,1232.0,581.5
projectts.csv,99.0,482.5,810.5,3833.5,196.0,289.5,283.5,186.0,950.0,389.0
sabbu.csv,99.0,1088.0,258.5,960.0,99.0,94.5,186.0,178.0,955.0,485.5
vxl.csv,97.5,719.0,718.0,951.5,99.0,289.5,91.5,91.5,98.5,485.5
zact.csv,99.0,252.5,235.0,469.5,99.0,0.0,607.0,95.5,304.0,95.5
