,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.97,0.57,0.51,0.89,0.78,0.92,0.68,0.42,0.8,0.82,0.52,0.59,0.92,0.92,0.86,0.94,1.04,0.81
bacula.csv,0.59,0.68,0.57,0.63,0.71,0.73,0.38,0.81,0.6,0.66,0.57,0.81,0.94,0.63,0.97,0.75,0.87,0.93
blue-c.csv,0.65,0.79,0.57,0.49,0.68,0.83,0.26,0.74,0.77,0.63,0.79,0.66,0.89,0.69,1.0,0.65,0.93,0.49
enlightenment.csv,0.58,0.99,0.97,1.0,0.99,0.48,0.96,1.0,0.62,1.0,1.0,0.92,1.0,0.45,0.99,1.0,1.0,1.0
fltk.csv,0.55,0.44,0.47,0.49,0.71,0.62,0.36,0.58,0.59,0.43,0.36,0.79,0.89,0.47,0.94,0.58,0.8,0.87
freewrl.csv,0.86,0.7,0.74,0.71,0.64,0.87,0.52,0.99,0.87,0.55,0.67,0.38,0.66,0.94,0.72,0.91,0.64,0.62
genecys.csv,0.96,0.98,0.9,1.01,0.64,0.75,0.92,0.83,0.99,0.93,0.7,0.75,1.0,0.94,1.0,0.98,0.89,0.65
genoviz.csv,0.81,0.93,0.74,0.97,0.65,0.97,0.97,0.97,0.94,0.88,0.88,0.96,0.74,0.71,1.0,0.64,0.78,0.09
gzigzag.csv,0.61,0.75,0.43,0.63,0.54,0.91,0.9,0.54,0.54,0.68,0.56,0.59,0.71,0.55,0.64,0.57,0.9,0.69
jparsec.csv,0.88,0.68,0.81,0.52,0.73,0.99,1.02,0.94,0.93,0.77,0.75,1.0,0.82,0.99,0.41,0.57,0.53,0.87
lportal.csv,0.62,0.95,0.96,0.97,0.83,0.76,1.0,0.95,0.76,0.88,1.0,1.0,0.57,0.68,0.98,0.88,0.31,0.8
ogrehg.csv,0.55,0.5,0.53,0.61,0.61,0.6,0.67,0.68,0.53,0.41,0.4,0.73,0.79,0.5,0.95,0.54,0.68,0.69
patterntesting.csv,0.81,0.73,0.86,0.41,0.88,0.91,0.56,0.95,0.99,0.75,0.89,0.92,0.94,0.71,1.0,0.94,0.85,0.76
pfaedit.csv,0.95,0.6,0.27,0.34,0.64,0.76,0.31,0.64,0.88,0.56,0.52,0.73,0.55,0.91,0.8,1.02,0.51,0.47
pgui.csv,0.65,1.0,1.0,1.0,0.87,1.0,0.88,0.7,1.0,1.0,1.0,1.0,0.49,0.38,0.95,0.98,1.0,1.02
roller.csv,0.98,0.97,0.69,0.42,0.84,0.96,0.84,0.99,0.99,0.87,1.0,0.55,0.35,0.94,0.71,0.64,0.62,0.89
sylpheed-claws.csv,0.76,0.78,0.97,0.38,0.73,0.77,1.0,1.0,0.43,0.94,1.0,0.72,0.74,0.57,0.71,0.91,0.62,0.91
xbg.csv,0.91,0.92,0.98,0.76,0.84,0.79,0.77,0.94,0.89,0.88,0.67,1.0,0.87,0.89,1.0,0.33,0.97,1.0
