,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.58,0.32,0.53,0.35,0.0,0.3,0.7,0.62,0.55,0.25,0.4,0.88,0.58,0.28,0.49,0.94,0.84,0.5
betoffice.csv,0.42,0.89,0.45,0.89,1.0,0.83,0.96,0.53,0.5,0.88,0.83,0.88,0.85,0.95,0.89,0.62,0.84,0.67
bionote.csv,0.17,0.53,0.0,0.2,0.0,0.08,0.09,0.6,0.08,0.12,0.03,0.88,0.19,0.49,0.4,0.26,0.2,0.5
bnetd.csv,0.92,1.0,0.9,0.28,0.6,0.28,0.65,1.0,0.65,0.38,0.2,1.0,0.69,0.23,0.78,0.95,0.94,0.83
elvishrayrenderer.csv,0.5,0.47,0.0,0.57,0.2,0.21,0.13,0.02,0.1,0.62,0.03,0.75,0.31,0.46,0.67,0.25,0.22,0.28
emisview.csv,0.5,0.0,0.23,0.13,0.1,0.34,0.04,0.24,0.22,0.0,0.2,0.62,0.27,0.36,0.16,0.03,0.19,0.0
findbugs.csv,0.92,0.42,0.68,0.28,0.7,0.6,0.43,0.49,0.44,0.0,0.77,0.38,0.58,0.18,0.36,0.53,0.78,0.33
hazelcast.csv,0.83,0.37,0.16,0.63,0.0,0.83,0.74,0.49,0.82,0.38,0.34,0.62,0.65,0.67,0.71,0.57,0.51,0.44
jitterbit.csv,1.0,0.68,0.33,0.52,0.6,0.62,0.22,0.24,0.22,0.25,0.94,0.25,0.77,0.67,0.51,0.25,0.61,0.44
jppf-project.csv,0.58,0.74,0.79,0.35,0.3,0.64,0.7,0.82,0.77,0.75,0.63,0.12,0.5,0.38,0.53,0.43,0.39,0.72
kolmafia.csv,0.92,0.68,0.99,0.5,0.3,0.94,0.78,1.0,0.69,0.62,0.54,0.38,0.87,0.31,0.91,0.92,0.7,0.61
megasquirtavr.csv,1.0,1.0,0.11,0.96,1.0,1.0,0.96,0.84,0.61,0.88,1.0,0.88,0.94,0.85,0.98,0.99,0.91,0.83
qedo.csv,0.08,0.95,0.36,0.41,0.1,0.13,0.48,0.31,0.48,0.75,0.4,0.12,0.38,0.49,0.29,0.23,0.29,0.39
stajistics.csv,0.92,0.95,0.12,0.91,0.2,0.72,0.3,0.51,0.62,0.75,0.23,0.75,0.54,0.97,0.84,0.46,0.3,0.94
trackit.csv,0.5,0.0,0.41,0.37,0.3,0.13,0.43,0.04,0.42,0.5,0.83,0.12,0.12,0.18,0.09,0.09,0.45,0.44
wxlua.csv,0.25,0.89,0.81,0.93,0.6,0.21,0.52,0.09,0.44,0.62,0.97,0.62,0.58,0.62,0.16,0.81,0.26,0.72
x4x.csv,0.25,0.74,0.53,0.65,0.8,0.57,0.83,0.8,0.76,0.38,0.34,0.88,0.58,0.72,0.76,0.93,0.72,0.89
xharbour.csv,1.0,0.05,0.68,0.61,0.3,0.72,0.74,0.69,0.7,0.62,0.83,0.62,0.52,0.44,0.8,0.85,0.75,0.61
