,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,94.5,827.0,296.5,278.5,464.5,92.5,97.5,192.0,289.5,98.5,97.5,176.0,173.0
gamestone.csv,97.5,265.5,180.0,197.5,184.0,0.0,184.0,397.5,88.5,93.5,85.5,92.5,99.0
gbif-providertoolkit.csv,196.5,285.5,296.5,98.5,288.0,99.0,92.5,97.5,191.0,98.5,196.0,285.5,98.5
growl-for-windows.csv,196.5,235.5,60.5,40.5,479.0,94.5,97.5,0.0,0.0,75.5,97.5,263.5,0.0
gss.csv,196.5,173.0,197.5,388.5,665.0,97.5,97.5,196.0,289.5,98.5,187.0,285.5,99.0
heekscad.csv,196.5,67.5,92.5,192.0,186.0,97.5,97.5,196.0,289.5,98.5,187.0,92.5,99.0
igarden.csv,196.5,67.5,97.5,197.5,438.5,94.5,97.5,97.5,289.5,86.5,187.0,73.5,98.5
levent.csv,196.5,64.5,0.0,0.0,572.5,97.5,97.5,0.0,0.0,0.0,187.0,279.5,0.0
openmsx.csv,97.5,563.0,98.5,197.5,194.5,92.5,97.5,464.5,386.5,179.0,196.0,353.0,98.5
pnotepad.csv,196.5,176.0,296.5,197.5,761.5,99.0,97.5,196.0,289.5,98.5,190.0,450.5,99.0
quark.csv,196.5,67.5,83.5,174.0,273.5,18.5,92.5,250.5,289.5,75.5,91.5,28.5,93.5
tango-cs.csv,196.5,472.5,296.5,197.5,761.5,34.0,188.0,196.0,289.5,98.5,196.0,279.5,99.0
xcsoar.csv,196.5,162.0,180.0,95.5,382.5,97.5,97.5,196.0,289.5,93.5,91.5,285.5,98.5
