,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.77,1.06,0.69,0.82,0.7,0.74,0.41,0.91,0.5,0.76,0.79,0.53,0.74
gamestone.csv,0.86,0.21,0.87,0.71,0.7,1.0,0.93,0.87,0.94,0.94,0.74,0.9,0.73
gbif-providertoolkit.csv,0.97,0.99,0.93,0.62,0.38,0.79,0.77,0.85,0.78,1.04,1.03,0.66,0.7
growl-for-windows.csv,0.47,0.75,0.86,0.97,0.64,0.76,0.93,1.0,1.0,0.96,0.79,0.35,1.0
gss.csv,0.44,0.35,0.59,0.88,0.86,0.71,1.0,0.75,0.9,0.33,0.33,0.91,0.82
heekscad.csv,0.4,0.67,0.42,0.54,0.42,0.58,0.68,0.6,0.83,0.58,0.59,0.65,0.69
igarden.csv,0.48,0.67,0.6,0.47,0.53,0.44,0.71,0.76,0.48,0.57,0.57,0.78,0.83
levent.csv,0.45,0.88,1.0,1.0,0.7,0.46,1.0,1.0,1.0,1.0,0.69,0.46,1.0
openmsx.csv,0.55,0.78,0.76,0.64,0.87,0.64,0.59,0.51,0.74,0.87,0.75,0.65,0.85
pnotepad.csv,0.43,0.61,0.73,0.97,0.91,0.64,0.95,0.89,1.0,0.08,0.59,0.83,0.84
quark.csv,0.62,0.75,0.64,0.94,0.72,0.98,0.82,0.89,0.31,0.81,0.91,0.97,0.76
tango-cs.csv,1.0,0.74,0.85,0.88,0.96,0.98,0.79,0.92,1.0,0.91,0.97,0.68,0.54
xcsoar.csv,0.38,0.76,0.41,0.63,0.52,0.67,0.8,0.73,1.0,0.77,0.67,0.65,0.67
