,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.82,0.94,0.76,0.94,0.91,0.93,0.58,0.92,0.58,0.59,0.42,0.9,0.62
gamestone.csv,0.91,0.44,0.94,0.51,0.75,0.0,0.46,0.95,0.9,0.83,0.89,0.62,0.37
gbif-providertoolkit.csv,0.6,0.72,0.69,0.63,0.67,0.94,0.88,0.48,0.7,0.51,0.38,0.53,0.83
growl-for-windows.csv,0.42,0.83,0.88,0.5,0.38,0.57,0.31,0.0,0.0,0.5,0.39,0.69,0.0
gss.csv,0.36,0.42,0.31,0.3,0.31,0.38,0.31,0.38,0.32,0.41,0.38,0.32,0.31
heekscad.csv,0.38,0.6,0.43,0.48,0.42,0.41,0.36,0.47,0.36,0.44,0.56,0.45,0.36
igarden.csv,0.47,0.62,0.59,0.5,0.55,0.51,0.36,0.67,0.42,0.61,0.61,0.88,0.4
levent.csv,0.49,0.86,0.0,0.0,0.38,0.43,0.31,0.0,0.0,0.0,0.36,0.56,0.0
openmsx.csv,0.47,0.45,0.71,0.36,0.91,0.87,0.5,0.67,0.83,0.79,0.76,0.81,0.65
pnotepad.csv,0.4,0.55,0.37,0.31,0.35,0.42,0.31,0.43,0.34,0.41,0.48,0.37,0.32
quark.csv,0.49,0.67,0.77,0.86,0.92,0.0,0.86,0.92,0.56,0.89,0.8,0.0,0.57
tango-cs.csv,0.48,0.52,0.39,0.33,0.36,0.5,0.4,0.43,0.34,0.42,0.35,0.48,0.44
xcsoar.csv,0.36,0.75,0.38,0.38,0.36,0.44,0.32,0.41,0.34,0.55,0.55,0.49,0.37
