,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.32,0.27,0.21,0.72,0.26,0.26,0.48,0.52,0.28,0.78,0.35,0.32,0.09,0.96,0.51,0.4,0.32
arm-webradio.csv,0.49,0.25,0.25,0.64,0.34,0.41,0.82,0.58,0.57,0.64,0.15,0.39,0.27,0.5,0.64,0.56,0.99
codepurge.csv,0.37,0.28,0.14,0.18,0.18,0.27,0.19,0.16,0.0,0.15,0.4,0.32,0.98,0.33,0.43,0.34,0.39
fw4spl.csv,0.56,0.92,0.16,0.29,0.21,0.2,0.45,0.44,0.45,0.67,0.2,0.24,0.2,0.47,0.55,0.49,0.31
glas.csv,0.42,0.17,0.19,0.63,0.16,0.33,0.61,0.22,0.99,0.65,0.0,0.25,0.18,0.52,0.52,0.44,0.49
grisbi.csv,0.49,0.23,0.28,0.86,0.28,0.31,0.99,0.45,0.44,0.76,0.17,0.36,0.31,0.49,0.63,0.64,0.42
gwanted.csv,0.0,0.03,0.06,0.14,0.94,0.0,0.0,0.0,0.0,0.91,0.27,0.31,0.0,0.0,0.57,0.09,0.05
lcfizvtop.csv,0.53,0.29,0.2,0.42,0.29,0.86,0.42,0.24,0.05,0.67,0.24,0.39,0.39,0.39,0.61,0.35,0.24
ldview.csv,0.98,0.15,0.05,0.23,0.12,0.0,0.43,0.42,0.33,0.33,0.22,0.22,0.09,0.42,0.42,0.53,0.47
libmesh.csv,0.38,0.15,0.09,0.72,0.16,0.09,0.38,0.88,0.27,0.29,0.25,0.28,0.08,0.38,0.39,0.22,0.55
mediaportal.csv,0.0,0.0,0.23,0.81,0.27,0.0,0.03,0.2,0.0,0.91,0.15,0.85,0.0,0.0,0.61,0.03,0.0
olex2.csv,0.51,0.2,0.35,0.74,0.3,0.39,0.77,0.22,0.54,0.46,0.29,0.33,0.15,0.36,0.23,0.98,0.25
oppna-program-hsatools.csv,0.42,0.23,0.25,0.98,0.32,0.24,0.89,0.34,0.42,0.93,0.16,0.3,0.29,0.5,0.52,0.51,0.17
qlc.csv,0.31,0.15,1.0,0.25,0.2,0.12,0.16,0.55,0.26,0.2,0.53,0.21,0.1,0.59,0.16,0.41,0.21
somap.csv,0.53,0.23,0.24,0.9,0.22,0.31,0.9,0.53,0.57,0.99,0.16,0.32,0.25,0.55,0.68,0.63,0.42
wxcode.csv,0.09,0.07,0.27,0.12,0.2,0.0,0.11,0.0,0.0,0.0,1.0,0.35,0.08,0.24,0.12,0.25,0.0
xcf.csv,0.45,0.26,0.2,0.57,0.26,0.44,0.65,0.42,0.39,0.59,0.11,0.38,0.24,0.4,1.0,0.58,0.71
