,paintown.csv,triplea.csv,fbmanager.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,itext.csv,powerfolder.csv,fido.csv,megameknet.csv,fityk.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.03,0.29,0.06,0.33,0.38,0.0,0.15,0.2,0.0,0.23,0.08,0.03,0.13,0.09,0.0,0.15,0.21,0.0,0.13
fbmanager.csv,0.27,0.43,0.0,0.45,0.25,0.19,0.41,0.64,0.33,0.13,0.59,0.51,0.32,0.45,0.0,0.41,0.42,0.0,0.45
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fityk.csv,0.58,0.43,0.55,0.38,0.5,0.11,0.3,0.31,0.38,0.3,0.68,0.33,0.64,0.0,0.25,0.43,0.26,0.0,0.48
fleet-simulator.csv,0.99,0.9,0.87,0.97,1.0,0.93,0.96,0.88,0.96,0.93,0.88,0.97,0.87,0.91,0.0,0.83,0.89,0.0,0.88
freenet.csv,0.63,0.57,0.61,0.01,0.44,0.52,0.63,0.73,0.5,0.7,0.65,0.31,0.5,0.36,0.12,0.44,0.59,1.0,0.56
geogebra.csv,0.08,0.24,0.0,0.3,0.44,0.04,0.44,0.15,0.04,0.67,0.17,0.47,0.05,0.0,0.0,0.2,0.01,0.0,0.08
google-caja.csv,0.38,0.71,0.48,0.68,0.56,0.74,0.0,0.67,0.29,0.33,0.73,0.59,0.62,0.55,0.62,0.7,0.62,0.0,0.54
hibernate.csv,0.1,0.67,0.16,0.33,0.69,0.33,0.59,0.36,0.08,0.3,0.27,0.23,0.44,0.14,1.0,0.0,0.27,1.0,0.12
itext.csv,0.08,0.33,0.16,0.22,0.12,0.11,0.22,0.2,0.12,0.07,0.25,0.15,0.16,0.36,0.0,0.13,0.22,0.0,0.13
k3b.csv,0.45,0.67,0.68,0.49,0.56,0.33,0.3,0.37,0.0,0.53,0.43,0.34,0.37,0.55,0.38,0.37,0.41,0.0,0.43
megameknet.csv,0.67,0.62,0.45,0.35,0.38,0.15,0.26,0.26,0.62,0.67,0.37,0.39,0.0,0.36,0.88,0.25,0.44,1.0,0.2
myfaces.csv,0.19,0.14,0.06,0.67,0.56,0.11,0.41,0.0,0.12,0.1,0.6,0.77,0.14,0.05,1.0,0.72,0.33,0.0,0.29
onotoa.csv,0.79,0.38,0.61,0.75,0.06,0.63,0.52,0.72,0.54,0.63,0.88,0.84,0.88,0.91,0.0,0.87,0.46,0.0,0.84
paintown.csv,0.0,0.33,0.26,0.6,0.75,0.3,0.41,0.63,0.46,0.37,0.79,0.46,0.31,0.27,0.12,0.59,0.44,0.0,0.83
powerfolder.csv,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
triplea.csv,0.34,0.0,0.42,0.81,0.5,0.59,0.41,0.42,0.42,0.5,0.31,0.82,0.3,0.36,0.38,0.5,0.49,0.0,0.46
xamj.csv,0.66,0.48,0.61,0.69,0.44,0.52,0.74,0.31,0.58,0.57,0.34,0.77,0.44,0.32,0.88,0.56,0.46,1.0,0.0
