,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,cortex-vfx.csv,wikipediardware.csv
cortex-vfx.csv,0.04,0.36,0.34,0.18,0.06,0.22,0.2,0.21,0.0
empserver.csv,0.23,0.61,0.9,0.16,0.3,0.4,0.3,0.76,0.0
enlightenment.csv,1.0,1.0,1.0,0.34,1.0,0.99,1.0,1.0,1.0
ildjit.csv,0.54,0.19,0.18,0.26,0.42,0.23,0.07,0.9,0.21
jfreereport.csv,0.05,0.21,0.2,0.1,0.06,0.12,0.11,0.08,0.0
lufa-lib.csv,0.64,0.63,0.38,0.49,0.12,0.63,0.27,0.08,0.71
pcsx2.csv,0.23,0.25,0.43,0.52,0.7,0.35,0.88,0.94,0.43
psycle.csv,0.28,0.69,0.65,0.59,0.64,0.69,0.66,0.82,0.29
wikipediardware.csv,0.36,0.82,0.98,0.63,0.97,0.77,0.94,0.82,0.14
