,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.48,0.63,0.8,0.0,0.64,0.62,0.57,0.59,0.47,0.39,0.26,0.57
jaolt.csv,0.54,0.61,0.63,0.06,0.43,0.07,0.66,0.59,0.0,0.53,0.49,0.5
jcl.csv,0.44,0.31,0.37,0.41,0.55,0.66,0.53,0.47,0.71,0.46,0.35,0.43
kmess.csv,0.44,0.61,0.31,0.5,0.75,0.49,0.13,0.64,0.29,0.45,0.49,0.69
ossbuild.csv,0.0,0.5,0.65,0.36,0.55,0.76,0.29,0.47,0.74,0.38,0.69,0.47
qgo.csv,0.57,0.87,0.45,0.36,0.0,0.35,0.56,0.05,0.58,0.65,0.59,0.61
quark.csv,0.0,0.35,0.2,0.06,0.17,0.0,0.1,0.25,0.48,0.13,0.82,0.07
rezilla.csv,0.49,0.31,0.12,0.74,0.33,0.07,0.3,0.54,0.25,0.7,0.27,0.52
rhex.csv,0.87,0.66,0.37,0.13,0.54,0.04,0.49,0.62,0.49,0.46,0.42,0.5
toped.csv,0.28,0.57,0.61,0.21,0.87,0.59,0.62,0.46,0.46,0.39,0.24,0.6
truevision.csv,0.51,0.65,0.64,0.63,0.74,0.07,0.63,0.72,0.47,0.51,0.42,0.66
wxstudio.csv,0.58,0.09,0.32,0.06,0.18,0.07,0.38,0.36,0.09,0.74,0.0,0.29
