,openefm.csv,dsworkbench.csv,autofac.csv,haggle.csv,cuberok.csv,jgnash.csv,apertium.csv,gabel.csv,tmva.csv,azureus.csv,octet.csv,jchassis.csv,servicestack.csv,gephex.csv,wsmt.csv,coot.csv,icescrum.csv,synecdoche.csv,rcp-company-uibindings.csv,javaprofiler.csv
apertium.csv,0.44,0.75,0.38,0.4,0.09,0.28,0.62,0.21,0.18,0.42,0.24,0.0,0.49,0.15,0.38,0.44,0.56,0.18,0.67,0.53
autofac.csv,0.49,0.18,0.77,0.71,0.4,0.31,0.3,0.18,0.51,0.35,0.22,0.07,0.63,0.62,0.48,0.67,0.56,0.51,0.75,0.75
azureus.csv,0.46,0.7,0.6,0.53,0.47,0.27,0.35,0.14,0.62,0.61,0.2,0.07,0.41,0.55,0.71,0.58,0.45,0.59,0.96,0.82
coot.csv,0.29,0.15,0.43,0.69,0.47,0.19,0.35,0.17,0.53,0.37,0.17,0.06,0.07,0.61,0.62,0.73,0.34,0.48,0.8,0.72
cuberok.csv,0.45,0.65,0.57,0.69,0.64,0.31,0.35,0.23,0.72,0.36,0.24,0.13,0.34,0.58,0.75,0.35,0.56,0.39,0.73,0.65
dsworkbench.csv,0.16,0.84,0.26,0.2,0.32,0.26,0.45,0.12,0.21,0.22,0.22,0.0,0.35,0.36,0.0,0.12,0.6,0.14,0.45,0.19
gabel.csv,0.44,0.51,0.43,0.55,0.43,0.32,0.24,0.47,0.6,0.46,0.29,0.0,0.0,0.33,0.17,0.5,0.57,0.39,0.36,0.25
gephex.csv,0.48,0.86,0.62,0.74,0.35,0.26,0.46,0.13,0.84,0.28,0.18,0.0,0.45,0.76,0.68,0.66,0.54,0.54,0.69,0.51
haggle.csv,0.52,0.61,0.52,0.67,0.0,0.45,0.12,0.1,0.38,0.3,0.2,0.0,0.44,0.57,0.37,0.24,0.49,0.37,0.57,0.23
icescrum.csv,0.5,0.7,0.3,0.5,0.44,0.26,0.39,0.2,0.52,0.55,0.17,0.0,0.28,0.51,0.24,0.48,0.78,0.31,0.68,0.57
javaprofiler.csv,0.51,0.75,0.63,0.73,0.54,0.25,0.44,0.17,0.72,0.42,0.26,0.06,0.47,0.61,0.38,0.56,0.53,0.54,0.98,0.71
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.06,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgnash.csv,0.49,0.11,0.65,0.52,0.43,0.44,0.27,0.18,0.49,0.34,0.29,0.0,0.56,0.6,0.61,0.57,0.36,0.41,0.7,0.34
octet.csv,0.23,0.6,0.52,0.61,0.42,0.28,0.57,0.14,0.56,0.36,0.57,0.0,0.26,0.62,0.29,0.56,0.53,0.46,0.85,0.41
openefm.csv,0.63,0.69,0.36,0.57,0.49,0.24,0.51,0.21,0.64,0.28,0.14,0.09,0.21,0.52,0.33,0.44,0.57,0.27,0.58,0.39
rcp-company-uibindings.csv,0.28,0.82,0.49,0.62,0.49,0.2,0.35,0.16,0.53,0.41,0.19,0.0,0.4,0.55,0.33,0.61,0.44,0.48,0.93,0.27
servicestack.csv,0.15,0.46,0.25,0.1,0.0,0.26,0.15,0.0,0.0,0.15,0.18,0.0,0.72,0.0,0.15,0.05,0.1,0.0,0.2,0.15
synecdoche.csv,0.5,0.74,0.56,0.28,0.56,0.25,0.37,0.18,0.64,0.49,0.11,0.0,0.27,0.68,0.6,0.58,0.53,0.7,0.64,0.43
tmva.csv,0.47,0.85,0.61,0.66,0.61,0.28,0.5,0.16,0.82,0.41,0.23,0.0,0.41,0.62,0.62,0.31,0.5,0.43,0.98,0.63
wsmt.csv,0.36,0.53,0.49,0.26,0.41,0.21,0.14,0.14,0.13,0.13,0.26,0.07,0.35,0.23,0.81,0.2,0.21,0.22,0.78,0.66
