,openefm.csv,dsworkbench.csv,autofac.csv,haggle.csv,cuberok.csv,jgnash.csv,apertium.csv,gabel.csv,tmva.csv,azureus.csv,octet.csv,jchassis.csv,servicestack.csv,gephex.csv,wsmt.csv,coot.csv,icescrum.csv,synecdoche.csv,rcp-company-uibindings.csv,javaprofiler.csv
apertium.csv,0.0,0.0,1.0,3.0,0.0,13.0,1.0,9.0,0.0,9.0,6.0,67.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
autofac.csv,0.0,0.0,0.0,0.0,1.0,37.0,6.0,5.0,3.0,22.0,6.0,10.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0
azureus.csv,6.0,2.0,7.0,4.0,4.0,59.0,6.0,52.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
coot.csv,1.0,0.0,0.0,0.0,3.0,60.0,7.0,20.0,1.0,20.0,5.0,10.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
cuberok.csv,6.0,2.0,4.0,0.0,1.0,26.0,3.0,3.0,1.0,12.0,2.0,6.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,2.0
dsworkbench.csv,1.0,0.0,2.0,0.0,4.0,11.0,1.0,4.0,0.0,9.0,1.0,67.0,0.0,0.0,64.0,1.0,0.0,4.0,0.0,0.0
gabel.csv,1.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,2.0,2.0,7.0,67.0,62.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
gephex.csv,0.0,3.0,0.0,0.0,3.0,38.0,9.0,7.0,0.0,11.0,4.0,67.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0
haggle.csv,2.0,0.0,0.0,0.0,56.0,1.0,7.0,15.0,0.0,13.0,6.0,67.0,0.0,0.0,1.0,5.0,12.0,0.0,0.0,1.0
icescrum.csv,0.0,0.0,3.0,0.0,2.0,26.0,2.0,11.0,0.0,5.0,14.0,67.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
javaprofiler.csv,0.0,1.0,0.0,0.0,1.0,53.0,7.0,7.0,1.0,14.0,4.0,10.0,2.0,0.0,1.0,2.0,2.0,8.0,0.0,0.0
jchassis.csv,99.0,65.0,61.0,114.0,56.0,0.0,82.0,99.0,225.0,3.0,57.0,1.0,62.0,111.0,64.0,76.0,50.0,71.0,250.0,110.0
jgnash.csv,0.0,0.0,2.0,1.0,7.0,2.0,2.0,15.0,0.0,5.0,2.0,67.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0
octet.csv,4.0,1.0,6.0,0.0,3.0,28.0,5.0,11.0,0.0,33.0,4.0,67.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
openefm.csv,0.0,2.0,6.0,0.0,1.0,27.0,6.0,5.0,1.0,7.0,6.0,8.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0
rcp-company-uibindings.csv,4.0,0.0,0.0,0.0,3.0,22.0,3.0,20.0,0.0,1.0,0.0,67.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
servicestack.csv,1.0,0.0,3.0,1.0,56.0,6.0,1.0,99.0,225.0,11.0,0.0,67.0,0.0,111.0,1.0,1.0,0.0,71.0,0.0,0.0
synecdoche.csv,3.0,1.0,13.0,2.0,4.0,28.0,2.0,32.0,0.0,4.0,27.0,67.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
tmva.csv,8.0,2.0,4.0,0.0,3.0,47.0,6.0,17.0,1.0,17.0,3.0,67.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0
wsmt.csv,0.0,1.0,0.0,0.0,4.0,12.0,8.0,18.0,0.0,21.0,3.0,10.0,2.0,0.0,0.0,4.0,8.0,1.0,0.0,0.0
