,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.9,1.0,0.93,0.05,0.97,1.0,1.0,0.8,0.94,1.0
coot.csv,0.78,0.81,0.67,1.0,0.78,0.57,0.95,0.8,1.0,0.37
haggle.csv,0.9,0.57,0.57,1.04,0.77,0.96,0.91,0.46,0.83,0.64
ibatisdb.csv,0.8,0.71,0.79,1.02,0.26,0.7,1.0,0.88,0.59,0.59
jas.csv,0.85,0.76,0.68,0.4,0.97,0.6,0.2,0.57,0.63,0.84
mesa3d.csv,0.61,0.51,0.57,0.44,0.63,0.58,0.88,1.06,0.57,0.77
ngl.csv,0.76,0.84,0.9,0.42,1.02,0.44,0.64,0.93,0.76,0.71
pustefix.csv,0.9,0.56,0.68,0.76,0.91,0.62,0.97,0.83,0.67,0.9
scenemonitor.csv,0.4,0.75,0.63,0.67,0.77,0.53,0.68,0.89,0.63,0.76
wsmt.csv,0.62,0.87,0.91,0.67,1.01,0.9,0.77,0.26,0.99,0.93
