,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.1,0.0,0.07,1.0,0.03,0.0,0.0,0.23,0.06,0.0
coot.csv,0.7,0.35,0.64,0.0,0.47,0.51,0.38,0.77,0.0,0.75
haggle.csv,0.1,0.78,0.7,0.0,0.31,0.04,0.12,0.71,0.68,0.65
ibatisdb.csv,0.2,0.7,0.23,0.0,0.81,0.32,0.0,0.26,0.48,0.57
jas.csv,0.2,0.26,0.35,0.67,0.06,0.6,0.88,0.63,0.72,0.3
mesa3d.csv,0.4,0.61,0.58,0.67,0.5,0.7,0.12,0.2,0.51,0.75
ngl.csv,0.9,0.96,0.96,1.0,0.5,0.68,0.88,1.0,0.25,0.9
pustefix.csv,0.1,0.48,0.69,1.0,0.17,0.58,1.0,0.31,0.71,0.28
scenemonitor.csv,0.65,0.48,0.45,0.33,0.28,0.67,0.38,0.54,0.51,0.4
wsmt.csv,0.6,0.13,0.11,0.33,0.08,0.11,0.38,0.8,0.01,0.08
