,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.0,0.02,0.0,0.05,0.02,0.01,0.06,0.2,0.02,0.0
coot.csv,0.72,0.48,0.56,0.0,0.58,0.28,0.72,0.77,0.0,0.27
haggle.csv,0.03,0.53,0.49,0.27,0.33,0.05,0.24,0.37,0.77,0.54
ibatisdb.csv,0.06,0.65,0.2,0.21,0.17,0.17,0.04,0.47,0.28,0.41
jas.csv,0.28,0.16,0.22,0.23,0.22,0.45,0.15,0.43,0.56,0.46
mesa3d.csv,0.12,0.32,0.39,0.29,0.38,0.49,0.12,0.7,0.29,0.73
ngl.csv,0.75,0.84,0.9,0.42,0.89,0.3,0.63,0.93,0.13,0.7
pustefix.csv,0.09,0.19,0.61,0.76,0.37,0.45,0.97,0.47,0.61,0.54
scenemonitor.csv,0.19,0.53,0.29,0.05,0.28,0.41,0.26,0.77,0.39,0.46
wsmt.csv,0.47,0.1,0.17,0.02,0.43,0.05,0.44,0.17,0.02,0.05
