,joustsim.csv,gpsmid.csv,psycle.csv,uface.csv,n2cms.csv,rebecca-aiml.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
gpsmid.csv,0.69,0.84,0.42,0.74,0.52,0.13,0.52,0.7,0.46
joustsim.csv,0.91,0.48,0.63,0.19,0.53,0.68,0.43,0.64,0.49
magicwars.csv,0.09,0.72,0.0,0.38,0.33,0.09,0.7,0.27,0.45
n2cms.csv,0.79,0.71,0.51,0.7,0.74,0.46,0.4,0.69,0.59
psycle.csv,0.78,0.77,0.62,0.79,0.55,0.32,0.63,0.7,0.71
rebecca-aiml.csv,0.35,0.59,0.53,0.67,0.57,0.88,0.68,0.6,0.56
turbotrader-bos.csv,0.84,0.54,0.51,0.65,0.31,0.6,0.33,0.71,0.64
uface.csv,0.8,0.7,0.68,0.94,0.59,0.09,0.42,0.65,0.6
xmemcached.csv,0.54,0.66,0.41,0.58,0.53,0.16,0.34,0.17,0.78
