,joustsim.csv,gpsmid.csv,psycle.csv,uface.csv,n2cms.csv,rebecca-aiml.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
gpsmid.csv,0.23,0.85,0.59,0.84,0.38,0.27,0.69,0.41,0.27
joustsim.csv,0.67,0.81,0.75,0.5,0.42,0.36,0.74,0.46,0.26
magicwars.csv,0.16,0.66,0.66,0.69,0.42,0.3,0.8,0.34,0.26
n2cms.csv,0.24,0.83,0.8,0.87,0.69,0.3,0.27,0.43,0.37
psycle.csv,0.31,0.69,0.8,0.85,0.4,0.24,0.36,0.42,0.35
rebecca-aiml.csv,0.16,0.72,0.82,0.78,0.41,0.71,0.39,0.5,0.3
turbotrader-bos.csv,0.28,0.89,0.85,0.96,0.43,0.64,0.79,0.61,0.37
uface.csv,0.26,0.66,0.73,0.97,0.42,0.28,0.33,0.39,0.3
xmemcached.csv,0.15,0.67,0.59,0.69,0.38,0.22,0.31,0.33,0.58
