,joustsim.csv,gpsmid.csv,psycle.csv,uface.csv,n2cms.csv,rebecca-aiml.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
gpsmid.csv,0.35,0.85,0.61,0.79,0.45,0.41,0.56,0.57,0.41
joustsim.csv,0.77,0.56,0.69,0.24,0.57,0.5,0.5,0.54,0.34
magicwars.csv,0.27,0.77,0.79,0.8,0.59,0.46,0.72,0.51,0.4
n2cms.csv,0.39,0.76,0.6,0.76,0.71,0.35,0.38,0.55,0.45
psycle.csv,0.45,0.79,0.69,0.83,0.53,0.35,0.49,0.56,0.49
rebecca-aiml.csv,0.27,0.64,0.61,0.73,0.54,0.79,0.53,0.54,0.45
turbotrader-bos.csv,0.43,0.63,0.6,0.74,0.33,0.59,0.42,0.65,0.47
uface.csv,0.41,0.73,0.79,0.95,0.53,0.42,0.49,0.54,0.46
xmemcached.csv,0.24,0.68,0.6,0.73,0.48,0.32,0.46,0.5,0.67
