,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.47,0.36,0.51,0.54,0.7,0.56,0.29,0.16,0.62,0.89,0.72,0.51,0.67,0.76,0.33
cornerstone.csv,0.37,0.39,0.59,0.53,0.69,0.96,0.32,0.17,0.59,0.42,0.7,0.38,0.73,0.37,0.35
esmf.csv,0.44,0.94,0.43,0.53,0.62,0.66,0.21,0.13,0.81,0.43,0.72,0.57,0.45,0.68,0.31
frogatto.csv,0.44,0.36,0.74,0.57,0.71,0.52,0.31,0.21,0.79,0.36,0.7,0.63,0.97,0.82,0.3
gretl.csv,0.43,0.42,0.65,0.58,0.81,0.68,0.2,0.17,0.98,0.43,0.83,0.64,0.7,0.78,0.35
kindb.csv,0.53,0.46,0.62,0.56,0.82,0.68,0.31,0.19,0.73,0.38,0.79,0.53,0.68,1.0,0.32
libtorrent.csv,0.44,0.42,0.65,0.54,0.78,0.65,0.21,0.16,0.84,0.6,0.99,0.62,0.69,0.79,0.33
mia.csv,0.3,0.21,0.31,0.35,0.61,0.27,0.11,1.0,0.65,0.51,0.38,0.46,0.31,0.7,0.08
open-beos.csv,0.43,0.33,0.67,0.99,0.62,0.55,0.19,0.26,0.69,0.33,0.64,0.49,0.53,0.58,0.27
pidgin.csv,0.47,0.37,0.61,0.53,0.98,0.49,0.29,0.18,0.61,0.37,0.72,0.46,0.72,0.67,0.28
quantlib.csv,0.43,0.3,0.52,0.27,0.42,0.39,0.15,0.42,0.44,0.26,0.53,0.45,0.54,0.54,0.96
riff-evolve.csv,0.44,0.37,0.72,0.57,0.8,0.53,0.3,0.19,0.75,0.53,0.74,0.96,0.59,0.85,0.21
tokratan.csv,0.44,0.38,0.24,0.48,0.75,0.5,0.97,0.26,0.76,0.52,0.75,0.26,0.3,0.67,0.23
upp-mirror.csv,0.35,0.32,0.99,0.52,0.71,0.48,0.15,0.27,0.75,0.22,0.55,0.52,0.5,0.75,0.26
wxcrp.csv,0.97,0.32,0.34,0.25,0.55,0.49,0.23,0.31,0.42,0.25,0.54,0.49,0.45,0.71,0.0
