,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.34,0.31,0.04,0.81,0.39,0.5,0.0,0.06,0.57,0.04,0.08,0.34,0.0,0.25,0.03,0.0,0.09
fontforge.csv,0.88,0.74,1.0,1.0,0.99,0.49,0.94,0.29,0.87,1.0,0.35,0.87,0.38,0.75,0.97,0.99,0.82,0.94
glas.csv,0.88,0.82,0.25,0.51,0.96,0.66,0.6,0.68,0.58,0.68,0.57,0.69,0.69,0.47,0.72,0.75,0.71,0.54
gmerlin.csv,0.0,0.93,0.5,0.91,0.0,0.69,0.98,0.0,0.65,0.0,0.7,0.56,0.97,0.58,0.99,0.0,0.33,0.4
hannosset.csv,0.76,0.22,0.28,0.16,0.71,0.36,0.48,0.35,0.68,0.52,0.17,0.22,0.17,0.05,0.23,0.25,0.92,0.33
hatari.csv,0.8,0.77,0.25,0.67,0.96,0.65,0.75,0.94,0.97,0.85,0.35,0.93,0.86,0.85,0.77,0.99,0.55,0.53
jaolt.csv,0.51,0.22,0.08,0.56,0.28,0.12,0.21,0.35,0.38,0.3,0.13,0.69,0.41,0.07,0.13,0.05,0.41,0.23
jcl.csv,0.65,0.43,0.61,0.33,0.55,0.46,0.67,0.55,0.69,0.7,0.39,0.17,0.48,0.07,0.55,0.29,0.41,0.59
ltp.csv,0.24,0.72,0.89,0.67,0.42,0.64,0.79,0.35,0.59,0.48,0.35,0.39,0.72,0.49,0.93,0.64,0.18,0.72
mia.csv,0.33,0.01,0.36,0.76,0.17,0.17,0.4,0.58,0.63,0.98,0.04,0.22,0.07,0.05,0.07,0.22,0.24,0.32
net-snmp.csv,0.39,0.42,0.42,0.73,0.62,0.64,0.62,1.0,0.92,0.62,0.61,0.71,0.62,0.87,0.51,0.43,0.41,0.2
opde.csv,1.0,0.42,1.0,0.2,1.0,0.55,0.38,0.74,0.69,0.0,0.3,0.98,0.66,0.07,0.88,0.78,0.39,0.38
oppna-program-hsatools.csv,0.71,0.27,0.61,1.0,0.68,0.29,0.83,0.81,0.9,0.95,0.04,0.99,0.38,0.2,0.19,0.66,0.56,0.6
powerfolder-.csv,0.63,0.24,0.31,0.71,0.39,0.32,0.37,0.52,0.48,0.65,0.52,0.9,0.41,0.29,0.25,0.78,0.48,0.44
qlc.csv,0.0,0.61,0.0,0.62,0.36,0.28,0.48,0.0,0.37,0.62,0.09,0.65,0.21,0.24,0.61,0.31,0.0,0.34
quantlib.csv,1.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35
tcl.csv,0.82,0.97,0.89,0.98,0.6,0.96,0.94,0.0,0.87,0.28,0.78,0.98,1.0,1.0,0.94,0.0,0.42,0.89
