,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.48,0.45,0.08,0.96,0.71,0.0,0.04,0.0,0.64,0.3,0.11,0.56,0.0,0.33,0.14,0.0,0.04
fontforge.csv,0.8,0.9,0.93,1.0,1.0,0.71,1.0,0.71,0.89,1.0,0.6,0.83,0.59,0.76,1.0,1.0,0.88,0.92
glas.csv,0.9,0.94,0.45,0.24,0.92,0.82,1.0,0.79,0.72,0.74,0.58,0.67,0.77,0.76,0.67,0.79,0.78,0.67
gmerlin.csv,0.0,0.9,0.66,0.84,0.0,0.79,1.0,0.0,0.78,0.0,0.8,0.72,0.97,0.78,1.0,0.0,0.53,0.42
hannosset.csv,0.76,0.19,0.62,0.16,0.79,0.39,1.0,0.46,0.61,0.41,0.28,0.44,0.12,0.14,1.0,0.36,0.78,0.46
hatari.csv,0.73,0.9,0.76,0.64,0.96,0.8,1.0,0.88,0.94,0.9,0.65,0.94,0.92,0.97,0.83,1.0,0.5,0.67
jaolt.csv,0.68,0.45,0.34,0.52,0.45,0.21,1.0,0.58,0.72,0.31,0.75,0.56,0.62,0.08,0.17,0.14,0.38,0.21
jcl.csv,0.88,0.65,0.76,0.44,0.86,0.62,1.0,0.67,0.72,0.56,0.66,0.22,0.59,0.08,0.83,0.57,0.59,0.67
ltp.csv,0.32,0.74,0.86,0.88,0.76,0.71,0.0,0.5,0.44,0.64,0.65,0.56,0.7,0.43,1.0,0.64,0.19,0.79
mia.csv,0.46,0.23,0.45,0.64,0.06,0.26,1.0,0.83,0.44,0.92,0.44,0.56,0.21,0.05,0.0,0.21,0.44,0.29
net-snmp.csv,0.76,0.65,0.62,0.68,0.59,0.67,1.0,1.0,0.94,0.56,0.61,1.0,0.59,0.68,0.67,0.29,0.47,0.29
opde.csv,1.0,0.48,1.0,0.44,1.0,0.59,1.0,0.88,0.78,0.0,0.56,1.0,0.64,0.11,0.67,0.64,0.34,0.29
oppna-program-hsatools.csv,0.85,0.65,0.76,1.0,0.92,0.52,1.0,0.88,0.89,0.95,0.83,1.0,0.49,0.24,0.5,0.71,0.62,0.46
powerfolder-.csv,0.8,0.68,0.59,0.68,0.36,0.3,1.0,0.62,0.72,0.59,0.69,0.78,0.62,0.41,0.33,0.93,0.62,0.42
qlc.csv,0.0,0.87,0.0,0.68,0.24,0.58,1.0,0.0,0.72,0.74,0.39,0.67,0.42,0.3,0.5,0.57,0.0,0.58
quantlib.csv,1.0,0.0,0.03,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06,0.0,0.0,0.0,1.0,1.0,0.67
tcl.csv,0.76,1.0,0.93,1.0,0.83,0.97,1.0,0.0,1.0,0.67,0.94,0.89,1.0,1.0,0.83,0.0,0.28,0.88
