,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.54,0.62,0.68,0.37,0.31,0.45,0.74,1.0,0.3,0.33,0.22,0.63
gdis.csv,0.69,0.82,0.58,0.46,0.78,0.55,0.45,0.62,0.81,0.0,0.51,0.65
kml.csv,0.65,0.98,0.95,0.49,0.75,0.82,0.96,1.0,0.6,1.0,0.81,1.0
ppcboot.csv,1.0,0.98,1.0,0.61,0.97,0.91,0.96,1.0,0.89,1.0,0.97,0.98
repositorium.csv,0.08,0.0,0.01,0.03,0.08,0.73,0.04,0.5,0.16,1.0,0.38,0.31
rsyslog.csv,0.73,0.8,0.75,0.51,0.36,1.0,0.45,0.38,0.65,1.0,0.49,1.0
simplewebservices.csv,0.85,0.85,0.85,0.96,0.94,0.64,0.53,0.62,0.91,1.0,0.84,0.66
ultimairis.csv,0.81,0.98,0.82,0.8,0.89,0.36,0.64,1.0,0.77,0.0,0.46,0.99
wow-qrsk.csv,0.08,0.5,0.83,0.34,0.14,0.0,0.02,0.12,0.12,1.0,0.03,0.26
wxstudio.csv,0.65,0.28,0.3,0.7,0.33,0.64,0.49,0.12,0.6,0.0,0.7,0.03
xbg.csv,0.19,0.02,0.02,0.61,0.19,0.09,0.32,0.75,0.04,0.0,0.11,0.32
xqilla.csv,0.04,0.05,0.3,0.13,0.06,0.36,0.17,0.12,0.21,1.0,0.27,0.14
