,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.18,0.06,0.0,0.51,0.34,0.08,0.0,0.02,0.02,0.04,0.03,0.0,0.14,0.04,0.0,0.0
codepurge.csv,0.75,0.53,0.67,0.38,0.86,0.3,0.4,0.68,0.11,0.3,0.17,0.62,0.05,0.19,0.46,0.32,0.18
fontforge.csv,0.94,0.85,1.0,1.0,0.99,0.6,0.94,0.23,0.9,1.0,0.39,0.87,0.8,0.96,0.99,0.89,0.96
glas.csv,0.61,0.66,0.17,0.29,0.77,0.77,0.63,0.81,0.68,0.5,0.74,0.76,0.35,0.37,1.0,0.58,0.53
gmerlin.csv,0.02,0.85,0.58,0.89,0.0,0.52,0.94,0.0,0.6,0.0,0.78,0.55,0.62,0.88,0.0,0.35,0.39
hatari.csv,0.53,0.32,0.33,0.78,0.85,0.38,0.83,0.94,0.88,0.85,0.13,0.95,0.49,0.29,0.93,0.29,0.32
jcl.csv,0.59,0.2,0.56,0.56,0.42,0.3,0.65,0.55,0.64,0.9,0.3,0.08,0.04,0.56,0.28,0.32,0.62
ltp.csv,0.29,0.68,0.86,0.71,0.39,0.67,0.85,0.16,0.68,0.48,0.39,0.39,0.58,0.79,0.65,0.26,0.71
mia.csv,0.29,0.0,0.28,0.78,0.1,0.12,0.35,0.39,0.63,0.95,0.04,0.2,0.05,0.04,0.22,0.17,0.23
net-snmp.csv,0.37,0.26,0.39,0.47,0.64,0.52,0.27,1.0,0.85,0.48,0.65,0.42,0.85,0.25,0.26,0.21,0.31
opde.csv,1.0,0.45,1.0,0.2,1.0,0.59,0.31,0.87,0.67,0.0,0.22,0.97,0.11,0.39,0.82,0.42,0.36
oppna-program-hsatools.csv,0.73,0.43,0.64,1.0,0.73,0.29,0.94,0.97,0.9,0.95,0.13,0.99,0.2,0.15,0.72,0.59,0.65
powerfolder-.csv,0.53,0.2,0.22,0.87,0.31,0.22,0.37,0.13,0.58,0.57,0.3,0.87,0.09,0.01,0.49,0.55,0.43
qlc.csv,0.04,0.64,0.11,0.49,0.38,0.27,0.38,0.06,0.38,0.28,0.04,0.74,0.27,0.1,0.67,0.02,0.29
quantlib.csv,0.45,0.51,0.14,0.56,0.09,0.47,0.35,1.0,0.43,0.45,0.78,0.6,0.29,0.06,1.0,0.44,0.34
tcl.csv,0.65,0.81,0.75,0.96,0.57,0.69,0.77,0.0,0.53,0.38,0.7,0.87,0.91,0.5,0.0,0.23,0.77
