,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.61,0.51,0.0,0.44,0.37,0.0,0.61,0.61,0.58,0.23,0.38,0.27,0.25,0.26,0.91,0.27,0.0,0.8,0.0,0.48
alleg.csv,0.5,0.42,0.43,0.11,0.35,0.76,0.19,0.64,0.21,0.26,0.22,0.33,0.03,0.45,0.25,0.19,0.76,0.83,0.65,0.19
biodwh.csv,0.56,0.48,0.0,0.49,0.38,0.39,0.2,0.51,0.48,0.21,0.43,0.26,0.2,0.5,0.01,0.57,0.53,0.47,0.62,0.68
factor.csv,0.3,0.09,0.09,0.09,0.31,0.4,0.03,0.52,0.33,0.53,0.25,0.0,0.05,0.46,0.0,0.21,0.56,0.88,0.53,0.27
iaml.csv,0.43,0.32,0.11,0.63,0.22,0.47,0.69,0.21,0.15,0.19,0.29,0.26,0.23,0.4,0.24,0.27,0.33,0.18,0.39,0.69
icescrum.csv,0.59,0.52,0.41,0.65,0.38,0.34,0.31,0.37,0.33,0.36,0.21,0.26,0.15,0.72,0.39,0.28,0.43,0.58,0.59,0.56
jbasic.csv,0.59,0.43,0.41,0.72,0.26,0.74,0.52,0.61,0.32,0.28,0.17,0.33,0.15,0.52,0.19,0.26,0.81,0.51,0.61,0.55
jcache.csv,0.61,0.47,0.4,0.69,0.12,0.73,0.42,0.71,0.32,0.38,0.15,0.39,0.2,0.58,0.95,0.3,0.77,0.37,0.53,0.88
ktc.csv,0.72,0.57,0.35,0.68,0.33,0.59,0.36,0.49,0.35,0.31,0.31,0.29,0.22,0.59,0.57,0.33,0.51,0.29,0.63,0.68
moast.csv,0.2,0.24,0.33,0.66,0.42,0.76,0.64,0.61,0.2,0.32,0.05,0.22,0.07,0.51,0.98,0.25,0.98,0.08,0.57,0.51
natpad.csv,0.55,0.47,0.3,0.31,0.38,0.64,0.41,0.65,0.37,0.33,0.26,0.35,0.08,0.49,0.31,0.23,0.85,0.85,0.67,0.42
nebuladevice.csv,0.37,0.23,0.49,0.42,0.36,0.0,0.48,0.49,0.07,0.0,0.07,0.48,0.03,0.36,0.88,0.14,0.2,0.82,0.0,0.21
nosleepsoftware.csv,0.1,0.15,0.64,0.1,0.0,0.24,0.18,0.1,0.0,0.0,0.0,0.36,0.0,0.0,0.02,0.09,0.27,0.16,0.1,0.2
pixel-commandos.csv,0.3,0.38,0.0,0.26,0.31,0.18,0.39,0.41,0.25,0.21,0.0,0.08,0.62,0.23,0.36,0.19,0.15,0.0,0.17,0.16
riff-evolve.csv,0.66,0.54,0.0,0.4,0.39,0.42,0.55,0.71,0.43,0.39,0.52,0.26,0.23,0.54,0.95,0.32,0.17,0.65,0.56,0.79
rosegarden.csv,0.71,0.61,0.28,0.66,0.3,0.62,0.45,0.62,0.4,0.42,0.41,0.35,0.25,0.6,0.47,0.19,0.68,0.32,0.67,0.78
smarttag.csv,0.65,0.47,0.05,0.23,0.44,0.31,0.39,0.59,0.32,0.24,0.16,0.3,0.16,0.51,0.91,0.13,0.04,0.8,0.0,0.54
wxcode.csv,0.66,0.56,0.43,0.53,0.0,0.49,0.22,0.52,0.41,0.37,0.5,0.36,0.2,0.55,0.05,0.33,0.45,0.12,0.42,0.79
xined.csv,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.79
zemljanka.csv,0.54,0.42,0.41,0.66,0.47,0.64,0.73,0.57,0.29,0.26,0.15,0.33,0.11,0.54,0.95,0.26,0.9,0.77,0.54,0.61
