,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.24,0.26,0.4,0.62,0.87,0.0,0.44,0.92,0.17,0.49,0.18,0.42,0.19,0.03,0.93,0.38,0.0,0.74,0.0,0.88
alleg.csv,0.24,0.38,0.66,0.05,0.72,0.33,0.03,0.7,0.41,0.4,0.45,0.21,0.6,0.69,0.45,0.62,0.67,0.43,0.23,0.1
biodwh.csv,0.19,0.16,0.15,0.17,0.18,0.33,0.04,0.17,0.11,0.16,0.14,0.25,0.05,0.16,0.0,0.18,0.0,0.17,0.31,0.17
factor.csv,0.18,0.16,0.53,0.0,0.49,0.29,0.0,0.34,0.23,0.02,0.54,0.17,0.37,0.75,0.1,0.32,0.67,0.22,0.16,0.1
iaml.csv,0.21,0.17,0.02,0.48,0.26,0.13,0.31,0.1,0.06,0.21,0.07,0.35,0.21,0.03,0.34,0.65,0.0,0.48,0.23,0.1
icescrum.csv,0.19,0.34,0.15,0.27,0.41,0.18,0.19,0.25,0.2,0.4,0.24,0.45,0.22,0.19,0.55,0.69,0.0,0.57,0.44,0.29
jbasic.csv,0.62,0.78,0.91,0.36,0.67,0.71,0.58,0.77,0.93,0.91,0.92,0.85,0.51,0.84,0.07,0.86,0.56,0.87,0.42,0.71
jcache.csv,0.71,0.67,0.85,0.67,0.05,0.89,0.62,0.63,0.75,0.65,0.41,0.54,0.35,0.56,0.59,0.38,0.44,0.3,0.69,0.17
ktc.csv,0.23,0.18,0.36,0.32,0.41,0.47,0.44,0.35,0.34,0.4,0.26,0.38,0.32,0.53,0.69,0.32,0.22,0.26,0.31,0.02
moast.csv,0.57,0.37,0.51,1.0,1.0,1.0,0.85,0.55,0.19,1.0,0.42,0.58,0.56,0.69,0.03,1.0,1.0,0.26,1.0,0.83
natpad.csv,0.25,0.47,0.62,0.05,0.74,0.45,0.07,0.71,0.43,0.58,0.34,0.25,0.48,0.56,0.48,0.72,0.78,0.35,0.38,0.17
nebuladevice.csv,0.61,0.42,0.7,0.65,0.56,0.0,0.7,0.57,0.4,0.16,0.61,0.24,0.59,0.53,0.86,0.41,0.11,0.61,0.0,0.83
nosleepsoftware.csv,0.22,0.14,0.3,0.18,0.0,0.02,0.25,0.03,0.07,0.0,0.18,0.11,0.25,0.19,0.28,0.14,0.0,0.17,0.27,0.05
pixel-commandos.csv,0.09,0.09,0.0,0.08,0.33,0.09,0.12,0.15,0.2,0.35,0.01,0.11,0.05,0.12,0.03,0.1,0.11,0.0,0.02,0.0
riff-evolve.csv,0.31,0.24,0.3,0.15,0.59,0.33,0.39,0.26,0.22,0.63,0.13,0.37,0.21,0.34,0.76,0.63,0.0,0.22,0.22,0.22
rosegarden.csv,0.34,0.24,0.45,0.62,0.23,0.56,0.26,0.91,0.45,0.37,0.26,0.45,0.26,0.34,0.55,0.23,0.33,0.48,0.34,0.32
smarttag.csv,0.41,0.47,0.55,0.11,0.36,0.31,0.26,0.45,0.68,0.28,0.36,0.35,0.45,0.31,0.9,0.24,0.0,0.74,0.0,0.22
wxcode.csv,0.19,0.15,0.13,0.23,0.05,0.31,0.3,0.48,0.27,0.07,0.18,0.42,0.15,0.16,0.31,0.11,0.11,0.26,0.16,0.17
xined.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.32
zemljanka.csv,0.82,0.86,0.72,1.0,0.82,0.6,0.98,0.58,0.8,0.84,0.72,0.8,0.7,0.5,0.86,0.97,0.0,1.0,0.81,1.0
