,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,162.0,91.5,180.0,96.5,60.5,84.5,177.0,640.5,93.5,513.0,261.5,197.5,95.5,98.5
boost-sandbox.csv,99.0,94.5,193.0,96.5,197.0,98.5,97.5,724.0,548.0,98.5,241.5,98.5,2935.5,89.5
customwars.csv,99.0,193.0,170.0,97.5,194.0,98.5,0.0,825.5,436.5,94.5,632.0,76.5,97.5,98.5
dvd-create.csv,99.0,291.5,98.5,97.5,98.5,98.5,0.0,1395.0,288.5,98.5,938.5,98.5,97.5,99.0
frogatto.csv,99.0,390.5,98.5,196.5,291.5,98.5,97.5,1214.0,383.0,98.5,1579.0,197.5,97.5,99.0
glelite.csv,99.0,489.5,98.5,196.5,197.0,98.5,97.5,1172.0,546.0,98.5,1579.0,197.5,97.5,99.0
go.csv,99.0,95.5,98.5,97.5,98.5,98.5,73.5,1486.5,263.5,98.5,1424.5,197.5,95.5,98.5
irplus.csv,99.0,193.0,98.5,97.5,194.0,98.5,0.0,1004.0,546.0,98.5,555.5,78.5,97.5,98.5
lsb.csv,99.0,489.5,98.5,196.5,197.0,98.5,0.0,1032.0,190.0,192.0,1579.0,97.5,97.5,98.5
moving-pictures.csv,96.5,95.5,96.5,95.5,76.5,98.5,0.0,1199.5,366.0,98.5,486.0,78.5,642.0,98.5
mpgravity.csv,99.0,291.5,98.5,97.5,197.0,98.5,178.0,1580.0,449.5,98.5,1758.5,98.5,97.5,98.5
plearn.csv,99.0,89.5,62.5,74.5,187.0,98.5,97.5,1287.0,269.5,168.0,158.0,98.5,97.5,99.0
rebecca-aiml.csv,99.0,291.5,98.5,97.5,95.5,95.5,0.0,1486.5,284.5,94.5,1116.5,278.0,97.5,99.0
wxcode.csv,99.0,95.5,98.5,96.5,84.5,94.5,97.5,377.0,141.0,94.5,450.0,197.5,97.5,98.5
