,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.7,0.92,0.77,0.44,0.86,0.84,0.96,0.87,0.88,0.65
flylegacy.csv,0.88,0.95,0.6,0.72,0.78,0.98,0.74,0.86,0.99,0.92
ftm.csv,0.5,0.82,0.55,0.69,0.76,0.59,0.64,0.6,0.49,0.28
jcache.csv,0.79,0.47,0.86,0.79,0.71,0.65,0.66,0.97,0.82,0.19
lphant.csv,0.86,0.53,0.62,0.67,0.79,0.43,0.67,0.42,0.58,0.33
minig.csv,0.77,0.95,0.89,0.86,0.91,0.36,0.79,1.0,0.91,0.68
mob-sen-plat.csv,0.84,0.26,0.91,0.81,0.77,0.85,0.63,0.69,0.75,0.39
raygina.csv,0.41,1.0,0.65,0.67,0.79,0.57,0.69,0.77,0.95,0.68
upp-mirror.csv,0.62,0.88,0.76,0.61,0.43,0.75,0.82,0.69,0.59,0.61
yarp.csv,0.73,1.0,0.76,0.96,1.0,0.78,0.51,0.82,0.95,0.92
