,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,1.0,0.82,1.0,0.45,0.64,1.0,0.98,0.63,0.66,0.89
ffigo.csv,0.79,0.83,0.97,0.66,0.71,0.81,0.87,0.76,0.42,0.68
foursquared.csv,1.0,0.73,0.91,0.85,0.24,0.94,1.0,1.0,1.0,1.0
gebr.csv,0.78,0.94,0.4,0.93,1.0,0.67,0.83,0.96,0.82,0.98
ildjit.csv,0.4,0.66,0.65,0.62,0.86,0.64,0.75,1.03,0.61,0.94
jfreereport.csv,0.95,0.61,0.82,0.46,0.79,0.61,0.7,0.88,0.66,0.8
kml.csv,0.96,0.98,0.44,0.8,1.0,0.32,0.66,0.89,0.67,0.9
ng4j.csv,0.75,0.78,0.55,0.57,0.49,0.52,0.51,0.91,0.63,0.35
pcsx2.csv,0.89,0.54,1.0,0.8,0.58,0.54,0.45,1.04,0.97,0.46
wxjs.csv,1.0,0.94,1.0,1.0,1.0,0.94,0.98,0.19,1.0,1.0
