,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.29,0.0,0.65,0.67,0.0,0.02,0.38,0.36,0.15
ffigo.csv,0.24,0.37,0.03,0.5,0.79,0.19,0.13,0.25,0.79,0.35
foursquared.csv,0.0,0.28,0.09,0.15,0.96,0.06,0.0,0.0,0.0,0.0
gebr.csv,1.0,0.97,0.66,1.0,1.0,0.92,0.91,1.0,0.91,1.0
ildjit.csv,0.69,0.49,0.43,0.45,0.17,0.56,0.31,0.0,0.41,0.1
jfreereport.csv,0.07,0.42,0.18,0.65,0.21,0.39,0.3,0.12,0.36,0.2
kml.csv,0.38,0.98,0.57,1.0,1.0,0.75,0.87,1.0,0.79,0.95
ng4j.csv,0.83,0.81,0.61,0.5,0.83,0.58,0.56,0.12,0.49,0.8
pcsx2.csv,0.14,0.69,1.0,1.0,0.54,0.47,0.75,0.0,0.03,0.75
wxjs.csv,0.0,0.07,0.0,0.0,0.0,0.06,0.02,1.0,0.0,0.0
