,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.62,0.57,0.51,0.33,0.5,0.53,0.7,0.0,0.7,0.43,0.51,0.83,0.39,0.22,0.23,0.52
elateportal.csv,0.42,0.65,0.17,0.43,0.5,0.26,0.41,0.27,0.45,0.52,0.34,0.0,0.56,0.56,0.13,0.47
gmerlin.csv,0.08,0.09,0.12,0.03,0.0,0.13,0.11,0.19,0.0,0.06,0.06,0.17,0.06,0.11,0.04,0.12
gretl.csv,0.96,0.7,0.9,0.07,1.0,0.89,0.85,0.73,0.71,0.66,0.74,0.67,0.72,0.78,0.65,0.86
illumination.csv,0.21,0.26,0.51,0.13,1.0,0.58,0.51,0.38,0.38,0.0,0.33,0.33,0.28,0.56,0.61,0.33
mpgravity.csv,0.46,0.57,0.0,0.57,0.5,0.79,0.18,0.65,0.33,0.46,0.58,0.33,0.5,0.44,0.44,0.28
nativeclient.csv,0.5,0.17,0.49,0.3,1.0,0.26,0.28,0.31,0.36,0.46,0.5,0.33,0.17,0.33,0.02,0.5
natpad.csv,0.5,0.13,0.15,0.23,0.5,0.61,0.2,0.27,0.24,0.23,0.43,0.0,0.22,0.44,0.3,0.0
ogre.csv,1.0,1.0,1.0,1.0,0.0,0.95,0.99,1.0,1.0,0.98,0.98,1.0,1.0,1.0,1.0,1.0
open-ms.csv,0.33,0.91,0.68,0.8,1.0,0.08,0.57,0.62,0.39,0.38,0.0,1.0,0.61,0.56,0.0,0.38
openmsx.csv,0.42,0.3,0.68,0.67,0.0,0.45,0.0,0.54,0.47,0.57,0.62,0.67,0.22,0.89,0.9,0.72
oppna-program-hsatools.csv,0.21,0.04,1.0,0.47,1.0,0.47,0.31,0.88,0.61,0.63,0.9,1.0,0.5,0.22,0.96,1.0
sandiaportals.csv,0.96,0.35,0.17,0.37,1.0,0.79,0.44,0.27,0.45,0.63,0.63,0.33,0.0,0.67,0.48,0.62
sauerbraten.csv,0.04,0.04,0.02,0.3,0.5,0.16,0.07,0.04,0.21,0.23,0.14,0.17,0.39,0.44,0.05,0.17
yarp.csv,0.21,0.3,0.17,0.03,0.5,0.0,0.09,0.15,0.29,0.12,0.14,0.33,0.11,0.0,0.04,0.06
zemljanka.csv,0.96,0.96,1.0,1.0,0.5,0.87,0.7,0.62,0.86,1.0,0.98,0.83,0.94,0.11,1.0,0.97
