,sauerbraten.csv,oppna-program-hsatools.csv,mpgravity.csv,gretl.csv,ogre.csv,yarp.csv,openmsx.csv,doomlegacy.csv,gmerlin.csv,illumination.csv,open-ms.csv,elateportal.csv,sandiaportals.csv,zemljanka.csv,nativeclient.csv,natpad.csv
doomlegacy.csv,0.69,0.82,0.36,0.9,0.98,0.41,0.4,1.0,0.32,0.28,0.25,0.67,0.82,0.98,0.7,0.48
elateportal.csv,0.38,0.79,0.46,0.89,0.97,0.41,0.42,0.84,0.32,0.19,0.24,1.0,0.73,0.97,0.77,0.51
gmerlin.csv,0.78,0.94,0.29,0.97,1.0,0.29,0.38,0.77,1.0,0.33,0.46,0.67,0.89,0.98,0.85,0.53
gretl.csv,0.63,0.84,0.24,0.99,0.98,0.4,0.39,0.79,0.36,0.2,0.22,0.86,0.8,0.96,0.62,0.41
illumination.csv,0.44,0.74,0.12,0.83,0.97,0.44,0.43,0.74,0.34,1.0,0.15,0.95,0.5,0.96,0.55,0.3
mpgravity.csv,0.75,0.81,1.0,0.83,0.98,0.35,0.5,0.73,0.37,0.17,0.24,0.95,0.8,0.97,0.59,0.61
nativeclient.csv,0.71,0.94,0.31,0.9,0.96,0.5,0.49,0.85,0.41,0.3,0.26,0.78,0.9,0.97,0.99,0.5
natpad.csv,0.66,0.92,0.5,0.9,0.95,0.36,0.46,0.83,0.41,0.21,0.26,1.0,0.84,0.96,0.66,1.0
ogre.csv,0.62,0.82,0.23,0.83,1.0,0.41,0.41,0.75,0.33,0.21,0.2,0.88,0.75,0.96,0.59,0.4
open-ms.csv,0.72,0.78,0.1,0.77,0.98,0.57,0.34,0.75,0.35,0.17,1.0,0.88,0.66,0.93,1.0,0.35
openmsx.csv,0.71,0.92,0.18,0.8,1.0,0.45,1.0,0.74,0.21,0.2,0.21,0.64,0.64,0.93,0.59,0.27
oppna-program-hsatools.csv,0.75,0.99,0.21,0.88,0.98,0.45,0.54,0.76,0.3,0.25,0.2,0.87,0.81,0.99,0.58,0.38
sandiaportals.csv,0.62,0.86,0.46,0.9,0.93,0.41,0.44,0.83,0.35,0.13,0.24,0.83,1.0,0.92,0.67,0.47
sauerbraten.csv,0.97,0.97,0.67,0.86,0.94,0.33,0.5,0.92,0.36,0.12,0.34,0.75,0.74,0.97,0.81,0.48
yarp.csv,0.38,0.65,0.22,0.83,0.94,1.0,0.47,0.85,0.21,0.2,0.21,0.0,0.78,1.0,0.76,0.2
zemljanka.csv,0.62,0.82,0.23,0.81,0.98,0.41,0.4,0.79,0.35,0.2,0.2,0.9,0.75,1.0,0.59,0.41
