,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.72,0.92,0.58,0.48,0.42,0.55,0.0,0.6,0.58,0.65,0.05,0.23,0.49,0.66
carabiner.csv,0.55,0.46,0.53,0.44,0.37,1.0,0.0,0.09,0.53,0.0,0.45,0.6,0.63,0.45
elvishrayrenderer.csv,0.53,0.48,0.39,0.46,0.49,0.59,0.0,0.41,0.48,0.52,0.45,0.6,1.0,0.53
fleet-simulator.csv,0.62,0.58,0.54,0.47,0.62,0.58,0.0,0.6,1.0,0.0,0.61,0.0,0.5,0.77
gmerlin.csv,0.43,0.16,0.29,0.36,0.34,0.17,0.22,0.95,0.16,0.42,0.25,0.36,0.36,0.13
gnome-jabber.csv,0.62,0.55,0.55,0.52,0.66,0.54,0.88,0.54,0.76,0.48,0.46,0.69,0.35,0.49
ipfilter.csv,0.79,0.3,0.53,0.36,0.57,0.68,0.56,0.51,0.78,1.0,0.21,0.55,0.24,0.62
irplus.csv,0.47,0.44,0.33,0.96,0.26,0.06,0.38,0.44,0.45,0.44,0.62,0.45,0.52,0.44
mevenide.csv,0.42,0.48,0.66,0.36,0.49,0.45,0.43,0.46,0.35,0.58,0.98,0.41,0.62,0.38
moving-pictures.csv,0.39,0.55,1.0,0.52,0.48,0.53,0.5,0.38,0.25,0.53,0.41,0.47,0.54,0.35
opensim4opencog.csv,0.93,0.0,0.17,0.44,0.4,0.11,0.28,0.0,0.05,0.02,0.4,0.04,0.04,0.0
rockbox.csv,0.61,0.37,0.5,0.52,0.49,0.49,0.46,0.49,0.66,0.55,0.5,0.7,0.59,0.91
ta3d.csv,0.53,0.58,0.51,0.52,0.63,0.3,0.54,0.63,0.9,0.55,0.21,0.95,0.69,0.73
xcmetadataservicestoolkit.csv,0.5,0.51,0.46,0.56,0.98,0.57,0.0,0.38,0.65,0.38,0.45,0.51,0.54,0.52
