,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.18,0.95,0.5,0.37,0.75,0.34,0.93,0.35,0.89,0.77,0.24,0.63,0.68,0.45
carabiner.csv,0.14,0.73,0.46,0.31,0.61,1.0,0.95,0.32,0.96,0.68,0.33,0.78,0.78,0.38
elvishrayrenderer.csv,0.12,0.65,0.45,0.31,0.69,0.33,0.95,0.31,0.85,0.68,0.33,0.71,1.0,0.4
fleet-simulator.csv,0.15,0.54,0.49,0.38,0.76,0.34,0.95,0.35,1.0,0.71,0.28,0.67,0.64,0.55
gmerlin.csv,0.18,0.71,0.7,0.44,0.8,0.38,1.0,1.0,0.78,0.85,0.3,0.92,0.73,0.5
gnome-jabber.csv,0.14,0.54,0.47,0.34,0.78,0.34,0.98,0.32,0.98,0.68,0.24,0.77,0.62,0.41
ipfilter.csv,0.2,0.5,0.46,0.35,0.74,0.38,0.96,0.3,0.98,1.0,0.25,0.69,0.64,0.42
irplus.csv,0.22,0.47,0.47,0.96,0.75,0.05,0.92,0.32,0.92,0.73,0.3,0.68,0.67,0.3
mevenide.csv,0.09,0.49,0.54,0.33,0.82,0.26,1.0,0.28,0.83,0.73,1.0,0.61,0.69,0.28
moving-pictures.csv,0.14,0.54,1.0,0.37,0.78,0.3,0.95,0.31,0.73,0.79,0.24,0.63,0.69,0.32
opensim4opencog.csv,1.0,0.0,0.5,0.42,0.68,0.67,0.96,0.0,1.0,0.5,0.21,0.25,0.33,0.0
rockbox.csv,0.15,0.62,0.44,0.35,0.71,0.43,0.95,0.36,1.0,0.72,0.25,0.79,0.68,1.0
ta3d.csv,0.13,0.56,0.5,0.36,0.77,0.3,0.96,0.37,0.98,0.7,0.26,1.0,0.74,0.48
xcmetadataservicestoolkit.csv,0.14,0.53,0.45,0.36,1.0,0.34,0.95,0.39,0.97,0.73,0.21,0.7,0.65,0.38
