,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.52,0.06,0.58,0.82,0.87,0.45,1.0,0.67,0.75,0.53,0.99,0.94,0.83,0.53
carabiner.csv,0.5,0.17,0.65,0.8,0.8,0.0,1.0,0.98,0.12,1.0,0.27,0.38,0.33,0.41
elvishrayrenderer.csv,0.73,0.26,0.87,0.61,0.73,0.55,1.0,0.41,0.62,0.68,0.27,0.62,0.0,0.47
fleet-simulator.csv,0.71,0.63,0.77,0.84,0.6,0.76,1.0,0.67,0.0,1.0,0.66,1.0,0.78,0.41
gmerlin.csv,0.25,0.06,0.1,0.23,0.2,0.1,0.0,0.0,0.25,0.16,0.16,0.06,0.22,0.06
gnome-jabber.csv,0.69,0.74,0.61,0.7,0.6,0.8,0.4,0.64,0.12,0.79,0.83,0.5,0.89,0.84
ipfilter.csv,0.53,0.29,0.68,0.89,0.67,0.59,0.4,0.71,0.12,0.0,0.95,0.69,0.94,0.66
irplus.csv,0.21,0.54,0.29,0.02,0.2,0.37,0.8,0.42,0.25,0.37,0.51,0.44,0.5,0.66
mevenide.csv,0.62,0.6,0.61,0.36,0.27,0.55,0.0,0.77,0.88,0.74,0.0,0.81,0.67,0.56
moving-pictures.csv,0.31,0.74,0.0,0.5,0.33,0.75,0.8,0.36,0.88,0.32,0.4,0.69,0.44,0.88
opensim4opencog.csv,0.0,0.0,0.13,0.32,0.47,0.02,0.2,0.02,0.0,0.05,0.47,0.19,0.11,0.0
rockbox.csv,0.5,0.23,0.74,0.59,0.53,0.25,0.4,0.41,0.0,0.53,0.8,0.44,0.61,0.0
ta3d.csv,0.78,0.57,0.81,0.77,0.67,0.92,0.4,0.64,0.12,0.68,0.95,0.0,0.5,0.53
xcmetadataservicestoolkit.csv,0.42,0.51,0.52,0.68,0.0,0.49,1.0,0.26,0.12,0.89,0.56,0.81,0.61,0.5
