,mycila.csv,azureus.csv,octet.csv,autofac.csv
autofac.csv,0.11,0.26,0.15,
azureus.csv,0.12,,0.11,0.47
mycila.csv,,0.38,0.14,0.48
octet.csv,0.33,0.31,,0.67
